Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
argX-hisR-leuT-proM	leuT // hisR // argX // proM	[argX-hisR-leuT-proM 3,982,375 &rarr; 3,982,811]	437	+
ariR	ariR	[ariR 1,216,369 &rarr; 1,216,635]	267	+
arnF // arnE // arnT // arnD // arnA // arnC // arnB	arnE // arnF // arnB // arnT // arnA // arnC // arnD	[TU0-13569 2,365,910 &rarr; 2,373,278]	7369	+
aroD	aroD	[aroD 1,774,686 &rarr; 1,775,444]	759	+
aroF-tyrA	tyrA // aroF	[aroF-tyrA 2,738,948 &larr; 2,741,150]	2203	-
aroG	aroG	[aroG 785,633 &rarr; 786,685]	1053	+
aroH	aroH	[aroH 1,788,435 &rarr; 1,789,481]	1047	+
aroH	aroH	[aroH 1,788,435 &rarr; 1,789,481]	1047	+
aroKB-damX-dam-rpe-gph-trpS	dam // gph // trpS // damX // rpe // aroB // aroK	[aroKB-damX-dam-rpe-gph-trpS 3,512,634 &larr; 3,519,064]	6431	-
aroKB-damX-dam-rpe-gph-trpS	dam // gph // trpS // damX // rpe // aroB // aroK	[aroKB-damX-dam-rpe-gph-trpS 3,512,634 &larr; 3,519,064]	6431	-
aroL-yaiA-aroM	aroL // yaiA // aroM	[aroL-yaiA-aroM 406,405 &rarr; 408,105]	1701	+
aroL-yaiA-aroM	aroL // yaiA // aroM	[aroL-yaiA-aroM 406,405 &rarr; 408,105]	1701	+
aroM	aroM	[aroM 407,428 &rarr; 408,105]	678	+
aroP	aroP	[aroP 120,178 &larr; 121,551]	1374	-
aroP	aroP	[aroP 120,178 &larr; 121,551]	1374	-
arpA	arpA	[TU0-14106 4,220,301 &larr; 4,222,487]	2187	-
arpB	arpB	[TU0-13379 1,803,094 &rarr; 1,804,993]	1900	+
arrS	arrS	[arrS 3,657,986 &larr; 3,658,054]	69	-
arsRBC	arsR // arsB // arsC	[arsRBC 3,648,528 &rarr; 3,650,662]	2135	+
artJ	artJ	[artJ 899,844 &larr; 900,575]	732	-
artPIQM	artM // artI // artQ // artP	[artPIQM 900,866 &larr; 903,734]	2869	-
artPIQM	artM // artI // artQ // artP	[artPIQM 900,866 &larr; 903,734]	2869	-
artPIQM	artM // artI // artQ // artP	[artPIQM 900,866 &larr; 903,734]	2869	-
artPIQM	artM // artI // artQ // artP	[artPIQM 900,866 &larr; 903,734]	2869	-
ascB	ascB	[ascB 2,840,990 &rarr; 2,842,414]	1425	+
ascFB	ascF // ascB	[ascFB 2,839,524 &rarr; 2,842,414]	2891	+
ascG	ascG	[ascG 2,838,254 &larr; 2,839,264]	1011	-
asd	asd	[TU0-13935 3,573,775 &larr; 3,574,878]	1104	-
aslA	aslA	[aslA 3,984,352 &larr; 3,986,007]	1656	-
aslB	aslB	[aslB 3,982,958 &rarr; 3,984,193]	1236	+
asmA	asmA	[TU0-13500 2,139,759 &larr; 2,141,612]	1854	-
asnA	asnA	[asnA 3,927,155 &rarr; 3,928,147]	993	+
asnB	asnB	[asnB 697,513 &larr; 699,177]	1665	-
asnC	asnC	[asnC 3,926,545 &larr; 3,927,003]	459	-
asnC-mioC	asnC // mioC	[asnC-mioC 3,926,012 &larr; 3,927,003]	992	-
asnC-mioC-mnmG	mnmG // asnC // mioC	[asnC-mioC-mnmG 3,923,744 &larr; 3,927,003]	3260	-
asnS	asnS	[asnS 987,585 &larr; 988,985]	1401	-
asnT	asnT	[asnT 2,044,549 &rarr; 2,044,624]	76	+
asnU	asnU	[asnU 2,059,851 &rarr; 2,059,926]	76	+
asnV	asnV	[asnV 2,062,260 &rarr; 2,062,335]	76	+
asnW	asnW	[asnW 2,058,027 &larr; 2,058,102]	76	-
aspA	aspA	[aspA 4,366,891 &larr; 4,368,327]	1437	-
aspA-dcuA	dcuA // aspA	[aspA-dcuA 4,365,472 &larr; 4,368,327]	2856	-
aspC	aspC	[aspC 984,519 &larr; 985,709]	1191	-
aspS	aspS	[aspS 1,948,750 &larr; 1,950,522]	1773	-
aspS	aspS	[aspS 1,948,750 &larr; 1,950,522]	1773	-
aspT	aspT	[aspT 3,946,872 &rarr; 3,946,948]	77	+
aspU	aspU	[aspU 228,928 &rarr; 229,004]	77	+
aspV	aspV	[aspV 236,931 &rarr; 237,007]	77	+
asr	asr	[asr 1,671,376 &rarr; 1,671,684]	309	+
astCADBE	astC // astB // astE // astA // astD	[astCADBE 1,825,955 &larr; 1,831,982]	6028	-
astCADBE	astC // astB // astE // astA // astD	[astCADBE 1,825,955 &larr; 1,831,982]	6028	-
astCADBE	astC // astB // astE // astA // astD	[astCADBE 1,825,955 &larr; 1,831,982]	6028	-
atoDAEB	atoA // atoD // atoB // atoE	[atoDAEB 2,323,447 &rarr; 2,327,293]	3847	+
atoC // atoS	atoS // atoC	[TU0-13562 2,320,043 &rarr; 2,323,251]	3209	+
atpBEFHAGDC	atpC // atpF // atpB // atpE // atpH // atpA // atpD // atpG	[atpBEFHAGDC 3,915,553 &larr; 3,922,051]	6499	-
atpBEFHAGDC	atpC // atpF // atpB // atpE // atpH // atpA // atpD // atpG	[atpBEFHAGDC 3,915,553 &larr; 3,922,051]	6499	-
atpIBEFHAGDC	atpC // atpF // atpI // atpB // atpE // atpH // atpA // atpD // atpG	[atpIBEFHAGDC 3,915,553 &larr; 3,922,440]	6888	-
avtA	avtA	[avtA 3,739,705 &rarr; 3,740,958]	1254	+
azoR	azoR	[azoR 1,482,255 &larr; 1,482,860]	606	-
azuC	azuC	[azuC 1,987,873 &larr; 1,987,959]	87	-
bacA	bacA	[bacA 3,203,310 &larr; 3,204,131]	822	-
baeSR	baeR // baeS	[baeSR 2,162,876 &rarr; 2,164,998]	2123	+
bamA	bamA	[bamA 197,928 &rarr; 200,360]	2433	+
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	dnaE // bamA // skp // rnhB // fabZ // lpxD // lpxA // lpxB	[bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE 197,928 &rarr; 208,608]	10681	+
bamB-der	der // bamB	[bamB-der 2,635,884 &larr; 2,638,652]	2769	-
bamC	bamC	[bamC 2,597,831 &larr; 2,598,865]	1035	-
bamD	bamD	[bamD 2,736,146 &rarr; 2,736,883]	738	+
bamD	bamD	[bamD 2,736,146 &rarr; 2,736,883]	738	+
bamE	bamE	[bamE 2,753,605 &rarr; 2,753,946]	342	+
barA	barA	[barA 2,915,057 &rarr; 2,917,813]	2757	+
basRS	basR // basS	[basRS 4,332,181 &larr; 4,333,950]	1770	-
bax	bax	[TU0-14231 3,736,353 &larr; 3,737,177]	825	-
bcp	bcp	[bcp 2,600,478 &rarr; 2,600,948]	471	+
bcr	bcr	[TU0-13554 2,278,570 &larr; 2,279,760]	1191	-
bcsABZC	bcsA // bcsB // bcsC // bcsZ	[bcsABZC 3,685,700 &larr; 3,695,236]	9537	-
bcsBZ	bcsB // bcsZ	[bcsBZ 3,689,155 &larr; 3,692,607]	3453	-
bcsEFG	bcsG // bcsF // bcsE	[bcsEFG 3,696,458 &rarr; 3,699,893]	3436	+
bcsQ	bcsQ	[bcsQ 3,695,233 &larr; 3,695,985]	753	-
bdcA	bdcA	[bdcA 4,473,340 &larr; 4,474,053]	714	-
bdcR	bdcR	[TU0-14172 4,474,124 &rarr; 4,474,717]	594	+
bdm-sra	sra // bdm	[bdm-sra 1,555,826 &larr; 1,556,280]	455	-
bepA-yfgD	bepA // yfgD	[bepA-yfgD 2,616,094 &rarr; 2,617,937]	1844	+
bepA-yfgD	bepA // yfgD	[bepA-yfgD 2,616,094 &rarr; 2,617,937]	1844	+
betIBA	betI // betB // betA	[betIBA 325,577 &larr; 329,334]	3758	-
betT	betT	[betT 329,463 &rarr; 331,496]	2034	+
bfd // bfr	bfd // bfr	[TU0-13914 3,466,249 &larr; 3,466,991]	743	-
bglA	bglA	[bglA 3,043,662 &rarr; 3,045,101]	1440	+
bglG	bglG	[bglG 3,905,731 &larr; 3,906,567]	837	-
bglG	bglG	[bglG 3,905,731 &larr; 3,906,567]	837	-
bglGFB	bglG // bglF // bglB	[bglGFB 3,902,289 &larr; 3,906,567]	4279	-
bglH // yieL // yieK	yieL // bglH // yieK	[TU0-14028 3,898,671 &larr; 3,902,220]	3550	-
bglX	bglX	[bglX 2,219,692 &larr; 2,221,989]	2298	-
bhsA	bhsA	[bhsA 1,169,073 &rarr; 1,169,330]	258	+
bioA	bioA	[bioA 807,968 &larr; 809,257]	1290	-
bioBFCD	bioD // bioC // bioB // bioF	[bioBFCD 809,344 &rarr; 812,947]	3604	+
bioH	bioH	[bioH 3,544,074 &larr; 3,544,844]	771	-
bioP	bioP	[TU0-14050 4,011,076 &rarr; 4,011,975]	900	+
bipA	bipA	[TU0-14061 4,058,407 &rarr; 4,060,230]	1824	+
bisC	bisC	[bisC 3,714,061 &larr; 3,716,394]	2334	-
blc	blc	[blc 4,377,189 &larr; 4,377,722]	534	-
blr	blr	[blr 1,704,551 &rarr; 1,704,676]	126	+
bluF	bluF	[bluF 1,214,264 &larr; 1,215,475]	1212	-
bluF	bluF	[TU0-13159 1,214,264 &larr; 1,215,475]	1212	-
bluR	bluR	[bluR 1,213,328 &larr; 1,214,059]	732	-
bolA	bolA	[bolA 454,472 &rarr; 454,789]	318	+
bolA	bolA	[bolA 454,472 &rarr; 454,789]	318	+
borD	borD	[borD 578,600 &larr; 578,893]	294	-
brnQ-proY	proY // brnQ	[brnQ-proY 419,591 &rarr; 422,359]	2769	+
bsmA	bsmA	[bsmA 4,416,441 &larr; 4,416,770]	330	-
bssR	bssR	[TU0-13065 878,248 &rarr; 878,631]	384	+
bssS	bssS	[bssS 1,120,701 &larr; 1,120,955]	255	-
bssS	bssS	[bssS 1,120,701 &larr; 1,120,955]	255	-
bssS	bssS	[bssS 1,120,701 &larr; 1,120,955]	255	-
btsS // btsR	btsR // btsS	[TU0-13526 2,212,243 &larr; 2,214,644]	2402	-
btuB-murI	btuB // murI	[btuB-murI 4,163,639 &rarr; 4,166,285]	2647	+
btuCED	btuE // btuD // btuC	[btuCED 1,792,809 &larr; 1,795,152]	2344	-
btuD	btuD	[btuD 1,792,809 &larr; 1,793,558]	750	-
btuE	btuE	[btuE 1,793,558 &larr; 1,794,109]	552	-
btuE	btuE	[btuE 1,793,558 &larr; 1,794,109]	552	-
C0067	C0067	[TU0-12845 238,462 &rarr; 238,586]	125	+
C0299	C0299	[C0299 1,230,629 &rarr; 1,230,707]	79	+
C0362	C0362	[C0362 1,552,001 &rarr; 1,552,386]	386	+
C0465	C0465	[TU0-14240 1,972,739 &rarr; 1,972,816]	78	+
C0614	C0614	[TU0-14236 2,653,452 &larr; 2,653,538]	87	-
C0664	C0664	[C0664 2,835,055 &rarr; 2,835,167]	113	+
C0719	C0719	[TU0-14234 3,121,358 &rarr; 3,121,579]	222	+
cadA	cadA	[cadA 4,356,470 &larr; 4,358,617]	2148	-
cadBA	cadB // cadA	[cadBA 4,356,470 &larr; 4,360,031]	3562	-
cadC	cadC	[cadC 4,360,396 &larr; 4,361,934]	1539	-
caiCDE	caiC // caiE // caiD	[caiCDE 34,781 &larr; 37,824]	3044	-
caiF	caiF	[caiF 34,300 &rarr; 34,695]	396	+
caiTABCDE	caiT // caiC // caiE // caiA // caiB // caiD	[caiTABCDE 34,781 &larr; 41,931]	7151	-
can	can	[can 142,008 &larr; 142,670]	663	-
carAB	carB // carA	[carAB 29,651 &rarr; 34,038]	4388	+
carAB	carB // carA	[carAB 29,651 &rarr; 34,038]	4388	+
carB	carB	[carB 30,817 &rarr; 34,038]	3222	+
cas3	cas3	[cas3 2,884,553 &larr; 2,887,219]	2667	-
casABCDE12	cas1 // casA // casE // casB // cas2 // casC // casD	[casABCDE12 2,878,569 &larr; 2,884,138]	5570	-
casDE-ygbTF	cas1 // casE // cas2 // casD	[casDE-ygbTF 2,878,569 &larr; 2,881,048]	2480	-
cbl	cbl	[cbl 2,059,964 &larr; 2,060,914]	951	-
cbpA-cbpM	cbpA // cbpM	[cbpA-cbpM 1,062,550 &larr; 1,063,775]	1226	-
cbpA-cbpM	cbpA // cbpM	[cbpA-cbpM 1,062,550 &larr; 1,063,775]	1226	-
cbpAM	cbpA // cbpM	[cbpAM 1,062,550 &larr; 1,063,775]	1226	-
cbpAM	cbpA // cbpM	[cbpAM 1,062,550 &larr; 1,063,775]	1226	-
cbrA	cbrA	[cbrA 3,869,377 &rarr; 3,870,441]	1065	+
cbrA	cbrA	[cbrA 3,869,377 &rarr; 3,870,441]	1065	+
cbrB	cbrB	[TU0-14026 3,897,506 &rarr; 3,897,973]	468	+
cbrBC	cbrC // cbrB	[cbrBC 3,897,506 &rarr; 3,898,609]	1104	+
cbrC	cbrC	[TU0-14027 3,898,022 &rarr; 3,898,609]	588	+
ccmABCDEFGH	ccmA // ccmF // ccmB // ccmG // ccmC // ccmH // ccmE // ccmD	[ccmABCDEFGH 2,291,358 &larr; 2,297,644]	6287	-
cdaR	cdaR	[cdaR 182,463 &rarr; 183,620]	1158	+
cdd	cdd	[cdd 2,231,844 &rarr; 2,232,728]	885	+
cdgI	cdgI	[TU0-13401 1,870,385 &rarr; 1,871,860]	1476	+
cdh	cdh	[cdh 4,109,930 &rarr; 4,110,685]	756	+
cdsA	cdsA	[cdsA 195,677 &rarr; 196,534]	858	+
cecR-ybhGFSR	cecR // ybhG // ybhF // ybhR // ybhS	[cecR-ybhGFSR 825,002 &larr; 830,643]	5642	-
cedA	cedA	[cedA 1,813,421 &larr; 1,813,663]	243	-
cfa	cfa	[cfa 1,741,413 &rarr; 1,742,561]	1149	+
cfa	cfa	[cfa 1,741,413 &rarr; 1,742,561]	1149	+
chaA	chaA	[chaA 1,270,749 &larr; 1,271,849]	1101	-
chaBC	chaB // chaC	[chaBC 1,272,119 &rarr; 1,273,202]	1084	+
chaC	chaC	[chaC 1,272,507 &rarr; 1,273,202]	696	+
chbBCARFG	chbB // chbR // chbA // chbC // chbF // chbG	[chbBCARFG 1,816,386 &larr; 1,821,619]	5234	-
chiA	chiA	[chiA 3,467,160 &larr; 3,469,853]	2694	-
chiP-ybfN	chiP // chiQ	[chiP-ybfN 708,334 &rarr; 710,116]	1783	+
chiQ	chiQ	[TU0-13022 709,790 &rarr; 710,116]	327	+
chiX	chiX	[chiX 507,204 &rarr; 507,287]	84	+
cho	cho	[cho 1,823,515 &rarr; 1,824,402]	888	+
chpSB	chpB // chpS	[chpSB 4,448,447 &rarr; 4,449,042]	596	+
chpSB	chpB // chpS	[chpSB 4,448,447 &rarr; 4,449,042]	596	+
cirA	cirA	[cirA 2,244,778 &larr; 2,246,769]	1992	-
cirA	cirA	[cirA 2,244,778 &larr; 2,246,769]	1992	-
citCDEFXG	citG // citX // citC // citD // citF // citE	[citCDEFXG 646,631 &larr; 651,856]	5226	-
citCDEFXG	citG // citX // citC // citD // citF // citE	[citCDEFXG 646,631 &larr; 651,856]	5226	-
citT	citT	[TU0-12998 645,117 &larr; 646,580]	1464	-
clcA	clcA	[TU0-12821 175,107 &rarr; 176,528]	1422	+
clcB	clcB	[TU0-13337 1,665,315 &rarr; 1,666,571]	1257	+
clpA	clpA	[clpA 923,264 &rarr; 925,540]	2277	+
clpA	clpA	[clpA 923,264 &rarr; 925,540]	2277	+
clpA	clpA	[clpA 923,264 &rarr; 925,540]	2277	+
clpB	clpB	[clpB 2,731,600 &larr; 2,734,173]	2574	-
clpPX	clpX // clpP	[clpPX 456,677 &rarr; 458,700]	2024	+
clpPX	clpX // clpP	[clpPX 456,677 &rarr; 458,700]	2024	+
clpPX	clpX // clpP	[clpPX 456,677 &rarr; 458,700]	2024	+
clpS	clpS	[clpS 922,913 &rarr; 923,233]	321	+
clpX-lon	clpX // lon	[clpX-lon 457,426 &rarr; 461,242]	3817	+
clsA-yciU	yciU // clsA	[clsA-yciU 1,306,821 &larr; 1,308,645]	1825	-
clsC	clsC	[clsC 1,106,355 &rarr; 1,107,776]	1422	+
cmk-rpsA	rpsA // cmk	[cmk-rpsA 961,201 &rarr; 963,668]	2468	+
cmr	mdfA	[cmr 883,673 &rarr; 884,905]	1233	+
cmr	mdfA	[cmr 883,673 &rarr; 884,905]	1233	+
cmtB // cmtA // yggP // yggF // fumE // yggC	yggF // fumE // cmtA // cmtB // yggC // yggP	[TU0-13801 3,073,976 &larr; 3,079,330]	5355	-
cnu	cnu	[TU0-13352 1,704,949 &rarr; 1,705,164]	216	+
coaA	coaA	[coaA 4,174,076 &larr; 4,175,026]	951	-
coaE // zapD // yacG	yacG // zapD // coaE	[TU0-12810 111,649 &larr; 113,219]	1571	-
cobUST	cobS // cobU // cobT	[cobUST 2,063,388 &larr; 2,065,764]	2377	-
cobUST	cobS // cobU // cobT	[cobUST 2,063,388 &larr; 2,065,764]	2377	-
