Gene_Names	Direction	Sequence - coordinates of DNA region
yciU // clsA	-	[clsA-yciU 1,306,821 &larr; 1,308,645]
yeaH // yeaG	+	[yeaGH 1,866,908 &rarr; 1,870,238]
fumC // fumA	-	[fumAC 1,685,185 &larr; 1,688,377]
fadM	+	[fadM 464,402 &rarr; 464,800]
dhaM // dhaL // dhaK	-	[dhaKLM 1,247,696 &larr; 1,250,838]
essQ // ydfR // rrrQ // rzpQ	-	[TU0-13321 1,639,030 &larr; 1,640,585]
abgR	+	[abgR 1,404,741 &rarr; 1,405,649]
ygaY	+	[TU0-13712 2,808,316 &rarr; 2,809,493]
flgN // flgM // flgA	-	[flgAMN 1,129,414 &larr; 1,130,863]
yjbE	+	[yjbE 4,235,906 &rarr; 4,236,148]
pfkA	+	[pfkA 4,107,552 &rarr; 4,108,514]
ecpE // ecpD // ecpC // ecpB	-	[ecpBCDE 304,495 &larr; 310,026]
leuO	+	[leuO 84,368 &rarr; 85,312]
iprA	+	[TU0-12912 394,506 &rarr; 395,129]
borD	-	[borD 578,600 &larr; 578,893]
sad	-	[TU0-13304 1,613,315 &larr; 1,614,703]
eamB	+	[yfiK 2,715,423 &rarr; 2,716,010]
yfjQ // yfjP	+	[TU0-13694 2,767,710 &rarr; 2,769,486]
dadA // dadX	+	[dadAX 1,237,571 &rarr; 1,239,949]
yiiX	-	[TU0-14088 4,127,286 &larr; 4,127,894]
rnpA // rpmH	+	[rpmH-rnpA 3,884,336 &rarr; 3,884,852]
yehW // yehX // yehY // osmF	-	[osmF-yehYXW 2,215,745 &larr; 2,219,481]
csrA	-	[csrA 2,818,961 &larr; 2,819,146]
yahH	+	[TU0-12893 339,769 &rarr; 340,089]
evgS // evgA	+	[evgAS 2,483,755 &rarr; 2,487,967]
yddW	-	[TU0-13288 1,567,504 &larr; 1,568,823]
yejK	-	[yejK 2,282,940 &larr; 2,283,947]
rluD // pgeF	-	[TU0-13675 2,734,303 &larr; 2,736,011]
arsR // arsB // arsC	+	[arsRBC 3,648,528 &rarr; 3,650,662]
yihR	-	[TU0-14067 4,069,475 &larr; 4,070,401]
degP	+	[degP 180,884 &rarr; 182,308]
ykfI // yafW // ykfH // ykfG	-	[ykfGH-yafW-ykfI 263,328 &larr; 264,732]
mzrA // yqjA	+	[yqjA-mzrA 3,247,773 &rarr; 3,248,822]
ykgJ	-	[TU0-12877 303,853 &larr; 304,182]
prpR	-	[prpR 346,857 &larr; 348,443]
mnaT // ydcZ	-	[TU0-13271 1,517,882 &larr; 1,518,846]
ydiP	-	[ydiP 1,778,390 &larr; 1,779,301]
trmJ	-	[TU0-13657 2,662,583 &larr; 2,663,323]
sdaA	+	[sdaA 1,896,932 &rarr; 1,898,296]
bioP	+	[TU0-14050 4,011,076 &rarr; 4,011,975]
mazG // mazF // mazE	-	[mazEFG 2,909,894 &larr; 2,911,339]
tcyJ	-	[tcyJ 1,999,585 &larr; 2,000,385]
ydeI	-	[TU0-41802 1,624,105 &larr; 1,624,497]
perR	-	[TU0-12861 269,289 &larr; 270,182]
rpoC // rpoB	+	[rpoBC 4,181,245 &rarr; 4,189,573]
hokB	-	[TU0-13255 1,491,922 &larr; 1,492,071]
ycjG	+	[ycjG 1,388,930 &rarr; 1,389,895]
aegA	-	[TU0-13640 2,583,546 &larr; 2,585,525]
rbsR // rbsD // rbsA // rbsC // rbsB // rbsK	+	[rbsDACBKR 3,933,351 &rarr; 3,939,219]
yieP // hsrA	-	[TU0-14033 3,939,185 &larr; 3,941,327]
dadX // dadA	+	[dadAX 1,237,571 &rarr; 1,239,949]
yggC // fumE	-	[yggDC 3,073,976 &larr; 3,075,195]
pal // cpoB // tolB	+	[TU0-41586 777,740 &rarr; 780,389]
C0067	+	[TU0-12845 238,462 &rarr; 238,586]
cstA	+	[cstA 629,894 &rarr; 631,999]
uspF	-	[uspF 1,435,185 &larr; 1,435,619]
matP	+	[matP 1,018,485 &rarr; 1,018,937]
ucpA	-	[ucpA 2,543,832 &larr; 2,544,623]
marR // marA // marB	+	[marRAB 1,619,120 &rarr; 1,620,207]
yidE	-	[TU0-14017 3,864,612 &larr; 3,866,273]
phr // ybgA	+	[ybgA-phr 739,001 &rarr; 740,925]
lipB // ybeD	-	[ybeD-lipB 661,637 &larr; 662,642]
rluA // rapA	-	[rapA-rluA 59,687 &larr; 63,264]
map // glnD // dapD	-	[TU0-12827 185,123 &larr; 189,506]
glnQ // glnP // glnH	-	[glnHPQ 845,741 &larr; 848,004]
abgA // abgB // abgT // ogt	-	[TU0-13222 1,399,721 &larr; 1,404,565]
nfeR	+	[yqjI 3,216,779 &rarr; 3,217,402]
ypdJ	+	[TU0-13606 2,476,094 &rarr; 2,476,234]
ihfA	-	[ihfA 1,795,253 &larr; 1,795,552]
yicC	+	[yicC 3,816,676 &rarr; 3,817,539]
kdsA // ychA // ychQ	+	[ychQA-kdsA 1,266,924 &rarr; 1,269,019]
ftsK	+	[ftsK 933,224 &rarr; 937,213]
tufA	-	[tufA 3,470,145 &larr; 3,471,329]
coaE // zapD // yacG	-	[TU0-12810 111,649 &larr; 113,219]
agaR	-	[agaR 3,277,856 &larr; 3,278,665]
ycjD	-	[TU0-13205 1,351,407 &larr; 1,351,760]
ynjF	-	[ynjF 1,840,783 &larr; 1,841,403]
yfcH // folX	+	[folX-yfcH 2,421,325 &rarr; 2,422,601]
ndh	+	[ndh 1,166,085 &rarr; 1,167,389]
yiaW // yiaV	-	[TU0-13986 3,752,963 &larr; 3,754,428]
fimD // fimH // fimG // fimF // fimC // fimI // fimA	+	[fimAICDFGH 4,543,115 &rarr; 4,549,710]
eno	-	[eno 2,906,643 &larr; 2,907,941]
fhuF	-	[fhuF 4,604,875 &larr; 4,605,663]
insL1	+	[TU0-12793 15,445 &rarr; 16,557]
sbcB	+	[sbcB 2,082,756 &rarr; 2,084,183]
purU	-	[TU0-13182 1,287,782 &larr; 1,288,624]
yjiC	-	[yjiC 4,555,490 &larr; 4,556,320]
rbn	+	[TU0-13573 2,381,608 &rarr; 2,382,525]
pck	+	[pck 3,532,818 &rarr; 3,534,440]
yhjE	+	[TU0-13968 3,674,786 &rarr; 3,676,108]
sdhX // sdhC // sdhD // sdhA // sdhB // sucA // sucB // sucC // sucD	+	[sdhCDAB-sucABCD-sdhX 755,177 &rarr; 765,150]
dgt	+	[dgt 179,237 &rarr; 180,754]
bacA	-	[bacA 3,203,310 &larr; 3,204,131]
recF // dnaN	-	[dnaN-recF 3,880,148 &larr; 3,882,321]
aspC	-	[aspC 984,519 &larr; 985,709]
zapB	+	[yiiU 4,118,515 &rarr; 4,118,760]
rplY	+	[TU0-13557 2,282,517 &rarr; 2,282,801]
tdcG // tdcF // tdcE // tdcD // tdcC // tdcB // tdcA	-	[tdcABCDEFG 3,258,285 &larr; 3,267,065]
yrhC	+	[TU0-13950 3,623,887 &rarr; 3,624,132]
serW	-	[serW 925,884 &larr; 925,971]
trpT	+	[trpt 3,946,957 &rarr; 3,947,032]
cydB // cydA	+	[cydAB 771,458 &rarr; 774,181]
ptsG	+	[ptsG 1,157,869 &rarr; 1,159,302]
folA	+	[folA 49,823 &rarr; 50,302]
ymfK	-	[TU0-13150 1,202,259 &larr; 1,202,933]
wecH	+	[wecH 3,725,887 &rarr; 3,726,882]
folE // yeiB	-	[folE-yeiB 2,241,810 &larr; 2,243,652]
carA // carB	+	[carAB 29,651 &rarr; 34,038]
yhgF	+	[TU0-13932 3,537,385 &rarr; 3,539,706]
lysT // valT // lysW	+	[lysT-valT-lysW 780,554 &rarr; 780,918]
nemR	+	[ydhM 1,726,023 &rarr; 1,726,622]
metJ	-	[metJ 4,128,078 &larr; 4,128,395]
ygbA	-	[ygbA 2,856,453 &larr; 2,856,806]
serC	+	[serC 957,653 &rarr; 958,741]
murJ	+	[TU0-13132 1,127,839 &rarr; 1,129,374]
yhaJ	-	[yhaJ 3,253,318 &larr; 3,254,214]
yehK	+	[TU0-13522 2,203,972 &rarr; 2,204,289]
fabA	-	[fabA 1,015,952 &larr; 1,016,470]
bfd // bfr	-	[TU0-13914 3,466,249 &larr; 3,466,991]
ompC	-	[ompC 2,311,646 &larr; 2,312,749]
sraB	+	[sraB 1,146,589 &rarr; 1,146,757]
treR	-	[treR 4,466,299 &larr; 4,467,246]
malQ	-	[malQ 3,547,986 &larr; 3,550,070]
mltC // yggX // mutY	+	[mutY-yggX-mltC 3,103,013 &rarr; 3,105,512]
efeB // efeO	+	[TU0-13116 1,082,243 &rarr; 1,084,647]
ybaK	-	[ybaK 506,603 &larr; 507,082]
trhP	+	[TU0-13505 2,165,668 &rarr; 2,167,029]
araE	-	[araE 2,980,764 &larr; 2,982,182]
yhcB	+	[yhcB 3,380,191 &rarr; 3,380,589]
mprA // emrA // emrB	+	[emrRAB 2,810,770 &rarr; 2,814,154]
wbbH // glf	-	[glf-rfc 2,106,060 &larr; 2,108,329]
psiE	+	[psiE 4,240,325 &rarr; 4,240,735]
infA	-	[infA 926,225 &larr; 926,443]
rsmA // pdxA	-	[pdxA-rsmA 51,609 &larr; 53,416]
mgsA	-	[mgsA 1,026,557 &larr; 1,027,015]
rpnC	+	[yadD 146,968 &rarr; 147,870]
dacD	-	[TU0-13488 2,081,381 &larr; 2,082,547]
pyrC	-	[pyrC 1,121,561 &larr; 1,122,607]
nlpI	-	[TU0-13881 3,308,040 &larr; 3,308,924]
rpoS	-	[rpoS 2,866,559 &larr; 2,867,551]
rhaM	-	[rhaM 4,093,124 &larr; 4,093,438]
ychF	-	[ychF 1,256,721 &larr; 1,257,812]
uxaA // uxaC	-	[uxaCA 3,241,827 &larr; 3,244,741]
pflA	-	[pflA 950,340 &larr; 951,080]
ybaP	-	[ybaP 507,286 &larr; 508,080]
yodB	+	[TU0-13470 2,042,368 &rarr; 2,042,898]
narG // narH // narJ // narI	+	[narGHJI 1,279,864 &rarr; 1,286,526]
yqjG	+	[TU0-13865 3,251,024 &rarr; 3,252,010]
icd	+	[icd 1,195,123 &rarr; 1,196,373]
rne	-	[rne 1,141,182 &larr; 1,144,367]
aer	-	[aer 3,217,556 &larr; 3,219,076]
gadF // gadE	+	[gadE 3,658,366 &rarr; 3,659,082]
deoR	-	[deoR 881,976 &larr; 882,734]
rluF	+	[rluF 4,230,354 &rarr; 4,231,226]
dcyD // tcyL // tcyN	-	[dcyD-tcyLN 1,997,062 &larr; 1,999,480]
glnG // glnL	-	[glnLG 4,053,869 &larr; 4,056,339]
ygiF // glnE	-	[TU0-13847 3,196,801 &larr; 3,200,965]
ibpB // ibpA	-	[ibpAB 3,866,469 &larr; 3,867,422]
yciY	+	[TU0-14244 1,308,788 &rarr; 1,308,961]
rnlB	+	[rnlB 2,766,984 &rarr; 2,767,355]
nfsB	-	[nfsB 604,771 &larr; 605,424]
cecR // ybhG // ybhF // ybhS // ybhR	-	[cecR-ybhGFSR 825,002 &larr; 830,643]
pepN	+	[pepN 990,622 &rarr; 993,234]
yebF	-	[TU0-13437 1,930,034 &larr; 1,930,390]
aroP	-	[aroP 120,178 &larr; 121,551]
parC	-	[TU0-13830 3,163,715 &larr; 3,165,973]
otsA	-	[otsA 1,980,188 &larr; 1,981,612]
cyaY	-	[TU0-14229 3,993,739 &larr; 3,994,059]
flhC // flhD	-	[flhDC 1,977,266 &larr; 1,978,197]
pgm // seqA	+	[seqA-pgm 712,987 &rarr; 715,198]
argA	+	[argA 2,949,242 &rarr; 2,950,573]
mntP	+	[mntP 1,905,688 &rarr; 1,906,254]
sohB	+	[sohB 1,329,332 &rarr; 1,330,381]
pppA	-	[TU0-13814 3,113,543 &larr; 3,114,352]
xylF // xylG // xylH // xylR	+	[xylFGHR 3,731,131 &rarr; 3,736,157]
uhpC // uhpB // uhpA	-	[uhpABC 3,847,305 &larr; 3,850,726]
ydeA	+	[ydeA 1,617,028 &rarr; 1,618,218]
exuT	+	[exuT 3,245,224 &rarr; 3,246,522]
sdiA	-	[sdiA 1,996,110 &larr; 1,996,832]
gapC	-	[gapC_1C_2 1,489,713 &larr; 1,490,713]
ybeX // lnt	-	[TU0-13016 689,343 &larr; 691,784]
dgcJ	+	[TU0-13402 1,872,041 &rarr; 1,873,531]
ligB	-	[ligB 3,819,488 &larr; 3,821,170]
selB // selA	-	[selAB 3,758,017 &larr; 3,761,249]
fau // ssrS	+	[ssrS-ygfA 3,055,983 &rarr; 3,056,789]
yjhI // yjhH // yjhG	-	[yjhIHG 4,522,127 &larr; 4,525,803]
murP // murQ	+	[murQP 2,545,773 &rarr; 2,548,097]
ariR	+	[ariR 1,216,369 &rarr; 1,216,635]
queE	-	[queE 2,904,747 &larr; 2,905,418]
dpiA // dpiB	+	[dpiBA 652,235 &rarr; 654,542]
tcyP	+	[tcyP 1,810,934 &rarr; 1,812,325]
insH1	-	[insH-1 274,101 &larr; 275,081]
rpsI // rplM	-	[rplM-rpsI 3,377,815 &larr; 3,378,651]
yqeB	-	[TU0-13778 3,012,614 &larr; 3,014,239]
pepA	-	[pepA 4,484,440 &larr; 4,485,951]
fau // ssrS	+	[ssrS-ygfA 3,055,983 &rarr; 3,056,789]
serC	+	[serC 957,653 &rarr; 958,741]
tfaD	+	[TU0-12982 581,534 &rarr; 582,097]
acrR	+	[acrR 485,761 &rarr; 486,408]
ydiJ // menI // ydiH	-	[TU0-13368 1,764,934 &larr; 1,768,685]
nudE	-	[nudE 3,525,589 &larr; 3,526,149]
phoQ // phoP	-	[phoPQ 1,188,316 &larr; 1,190,447]
ygeF	+	[TU0-13761 2,990,554 &rarr; 2,991,043]
cycA	+	[cycA 4,429,864 &rarr; 4,431,276]
alr	+	[alr 4,265,782 &rarr; 4,266,861]
nanS // nanM // nanC	-	[nanCMS 4,536,614 &larr; 4,539,501]
folD // ybcJ	-	[folD-ybcJ 556,661 &larr; 557,741]
ruvC // yebC // nudB	-	[nudB-yebC-ruvC 1,946,855 &larr; 1,948,632]
cnu	+	[TU0-13352 1,704,949 &rarr; 1,705,164]
feaB	+	[feaB 1,447,519 &rarr; 1,449,018]
mltA	-	[TU0-13743 2,946,081 &larr; 2,947,178]
mreD // mreC // mreB	-	[mreBCD 3,398,387 &larr; 3,401,087]
yjeI	+	[yjeI 4,372,809 &rarr; 4,373,162]
yfgM	-	[yfgM 2,638,663 &larr; 2,639,283]
ilvL	+	[ilvL 3,950,322 &rarr; 3,950,420]
priC // ybaM	-	[TU0-12945 490,110 &larr; 490,812]
ytfK	+	[ytfK 4,439,587 &rarr; 4,439,793]
ynfA	-	[TU0-13334 1,655,347 &larr; 1,655,673]
chaA	-	[chaA 1,270,749 &larr; 1,271,849]
cas3	-	[cas3 2,884,553 &larr; 2,887,219]
hisL // hisG // hisD // hisC // hisB // hisH // hisA // hisF // hisI	+	[hisLGDCBHAFI 2,089,996 &rarr; 2,097,225]
yjcE	+	[TU0-14124 4,279,980 &rarr; 4,281,629]
cdd	+	[cdd 2,231,844 &rarr; 2,232,728]
pdxY // tyrS	-	[tyrS-pdxY 1,715,026 &larr; 1,717,222]
murA // ibaG	-	[ibaG-murA 3,335,235 &larr; 3,336,803]
yajG	-	[yajG 453,589 &larr; 454,167]
baeR // baeS // mdtD // mdtC // mdtB // mdtA	+	[mdtABCD-baeSR 2,154,016 &rarr; 2,164,998]
ydfO // ynfO	+	[TU0-13318 1,636,756 &rarr; 1,637,457]
ttdR	-	[ttdR 3,205,324 &larr; 3,206,256]
yqaE	-	[yqaE 2,796,870 &larr; 2,797,028]
fdhE // fdoI // fdoH // fdoG	-	[fdoGHI-fdhE 4,080,299 &larr; 4,085,822]
arpA	-	[TU0-14106 4,220,301 &larr; 4,222,487]
zraR // zraS	+	[zraSR 4,201,926 &rarr; 4,204,645]
cdsA // uppS	+	[uppS-cdsA 194,903 &rarr; 196,534]
metH	+	[metH 4,223,828 &rarr; 4,227,511]
ykiB	-	[TU0-12909 389,897 &larr; 390,115]
frc	-	[frc 2,492,004 &larr; 2,493,254]
yneE	-	[TU0-13301 1,608,108 &larr; 1,609,022]
yfiC	-	[yfiC 2,712,027 &larr; 2,712,764]
yfjJ	+	[TU0-13691 2,760,547 &rarr; 2,761,173]
cobT // cobS // cobU	-	[cobUST 2,063,388 &larr; 2,065,764]
yiiQ	-	[TU0-14081 4,111,615 &larr; 4,112,214]
xylB // xylA	-	[xylAB 3,727,917 &larr; 3,730,765]
glnX // glnV // metU // glnW	-	[glnW-metU-glnVX 696,430 &larr; 696,830]
ppx // ppk	+	[ppk-ppx 2,623,044 &rarr; 2,626,656]
yahB	-	[TU0-12890 333,501 &larr; 334,433]
bglX	-	[bglX 2,219,692 &larr; 2,221,989]
yddM	-	[TU0-13285 1,552,398 &larr; 1,552,682]
yegI	-	[yegI 2,149,039 &larr; 2,150,985]
pssA	+	[pssA 2,722,727 &rarr; 2,724,082]
tsaE // nnr // amiB // mutL // miaA // hfq // hflX // hflK // hflC	+	[yjeFE-amiB-mutL-miaA-hfq-hflXKC 4,394,066 &rarr; 4,404,304]
ompL	-	[TU0-14064 4,063,603 &larr; 4,064,295]
hlyE	-	[hlyE 1,229,483 &larr; 1,230,394]
nuoN // nuoM	-	[nuoMN 2,390,048 &larr; 2,393,041]
prmC // prfA // hemA	+	[hemA-prfA-prmC 1,263,714 &rarr; 1,266,927]
intF	-	[TU0-12874 295,696 &larr; 297,096]
istR	-	[istR-1 3,853,118 &larr; 3,853,257]
patD	+	[TU0-13268 1,515,578 &rarr; 1,517,002]
ydgC	-	[ydgC 1,681,695 &larr; 1,682,030]
ryfA	+	[TU0-13654 2,653,855 &rarr; 2,654,158]
trpR	+	[trpR 4,632,760 &rarr; 4,633,086]
recQ	+	[recQ 4,005,864 &rarr; 4,007,693]
cfa	+	[cfa 1,741,413 &rarr; 1,742,561]
argQ	-	[argQ 2,817,784 &larr; 2,817,860]
gadC	-	[TU0-41793 1,568,954 &larr; 1,570,489]
cspG	+	[cspG 1,051,461 &rarr; 1,051,673]
ydcF	+	[TU0-13252 1,487,235 &rarr; 1,488,035]
ychN	-	[ychN 1,273,246 &larr; 1,273,599]
maeB	-	[TU0-13637 2,576,098 &larr; 2,578,377]
prs	-	[prs 1,260,928 &larr; 1,261,875]
mioC	-	[mioC 3,926,012 &larr; 3,926,455]
acpP // fabG // fabD	+	[fabDG-acpP 1,149,728 &rarr; 1,151,851]
clpX // clpP	+	[clpPX 456,677 &rarr; 458,700]
gloB	-	[TU0-12842 234,027 &larr; 234,782]
sdhB // sdhA // sdhD	+	[sdhDAB 755,560 &rarr; 758,405]
tfaR // stfR	+	[TU0-13236 1,429,049 &rarr; 1,432,986]
ycaK	+	[ycaK 949,668 &rarr; 950,258]
ligA // ypeB	-	[ligA-ypeB 2,527,941 &larr; 2,530,176]
malI	-	[malI 1,698,152 &larr; 1,699,180]
yidH // yidG // yidF	-	[TU0-14014 3,855,114 &larr; 3,856,307]
cydB // cydA	+	[cydAB 771,458 &rarr; 774,181]
glnS	+	[glnS 706,093 &rarr; 707,757]
actP // yjcH // acs	-	[acs-yjcHG 4,283,253 &larr; 4,287,371]
dgt	+	[dgt 179,237 &rarr; 180,754]
deoD // deoB	+	[deoBD 4,619,603 &rarr; 4,621,602]
insH4	+	[TU0-13219 1,396,112 &rarr; 1,397,092]
yqgD	-	[yqgD 3,086,399 &larr; 3,086,650]
yfdO // yfdN // yfdM // yfdL // yfdK	-	[TU0-13603 2,471,077 &larr; 2,473,246]
gcvA	-	[gcvA 2,941,650 &larr; 2,942,567]
waaH	-	[yibD 3,789,047 &larr; 3,790,081]
trpA // trpB // trpC	-	[trpCBA 1,316,416 &larr; 1,319,788]
lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // rsmH	+	[mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 90,094 &rarr; 107,474]
ssrS	+	[ssrS 3,055,983 &rarr; 3,056,165]
cra	+	[cra 88,028 &rarr; 89,032]
ssb	+	[ssb 4,274,125 &rarr; 4,274,661]
lapB // lapA	+	[lapAB 1,340,243 &rarr; 1,341,727]
yncE	+	[yncE 1,523,307 &rarr; 1,524,368]
yfcE	-	[yfcE 2,419,234 &larr; 2,419,788]
proP	+	[proP 4,330,502 &rarr; 4,332,004]
yiaB	-	[TU0-13983 3,727,407 &larr; 3,727,748]
envZ // ompR	-	[ompR-envZ 3,534,516 &larr; 3,536,584]
fliR // fliQ // fliP // fliO // fliN // fliM // fliL	+	[fliLMNOPQR 2,019,618 &rarr; 2,023,678]
ddpF // ddpD // ddpC // ddpB // ddpA // ddpX	-	[ddpXABCDF 1,557,112 &larr; 1,563,076]
mog	+	[TU0-12790 9,306 &rarr; 9,893]
ppc	-	[ppc 4,150,447 &larr; 4,153,098]
dauA	-	[TU0-13179 1,259,124 &larr; 1,260,803]
yjgZ	+	[yjgZ 4,501,260 &rarr; 4,501,589]
pmrD	-	[TU0-13570 2,373,272 &larr; 2,373,538]
aldB	-	[aldB 3,754,973 &larr; 3,756,511]
ccp	-	[yhjA 3,667,791 &larr; 3,669,188]
leuV // leuP // leuQ	-	[leuQPV 4,606,079 &larr; 4,606,401]
mreB	-	[mreB 3,400,044 &larr; 3,401,087]
recR // ybaB	+	[ybaB-recR 494,076 &rarr; 495,010]
rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	-	[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,423 &larr; 3,428,762]
dapD	-	[dapD 185,123 &larr; 185,947]
pdeG	+	[TU0-13163 1,217,328 &rarr; 1,218,851]
maoP	+	[yifE 3,948,086 &rarr; 3,948,424]
bcr	-	[TU0-13554 2,278,570 &larr; 2,279,760]
glgP // glgA // glgC	-	[glgCAP 3,564,134 &larr; 3,569,328]
acpT	+	[TU0-13947 3,612,969 &rarr; 3,613,556]
glyV // glyX // glyY	+	[glyVXY 4,392,360 &rarr; 4,392,658]
ybiB	+	[ybiB 835,248 &rarr; 836,210]
chiA	-	[chiA 3,467,160 &larr; 3,469,853]
aqpZ	-	[aqpZ 915,352 &larr; 916,047]
yraP	+	[yraP 3,296,409 &rarr; 3,296,984]
ymfE // ymfD	-	[TU0-13147 1,196,867 &larr; 1,198,237]
yhiN	-	[yhiN 3,636,208 &larr; 3,637,410]
yohK // yohJ	+	[yohJK 2,230,624 &rarr; 2,231,714]
gltA	-	[gltA 753,185 &larr; 754,468]
hslR // yrfG	+	[yrfG-hslR 3,528,669 &rarr; 3,529,749]
aspV	+	[aspV 236,931 &rarr; 237,007]
rodZ	-	[yfgA 2,641,831 &larr; 2,642,844]
narU	-	[narU 1,542,672 &larr; 1,544,060]
ftnB	+	[ftnB 1,986,925 &rarr; 1,987,428]
glnA	-	[glnA 4,056,625 &larr; 4,058,034]
yceB	-	[TU0-13129 1,122,713 &larr; 1,123,273]
opgE	-	[ybiP 851,014 &larr; 852,597]
metG	+	[metG 2,194,300 &rarr; 2,196,333]
glnB	-	[glnB 2,687,070 &larr; 2,687,408]
arfA	-	[arfA 3,438,431 &larr; 3,438,649]
glnB	-	[glnB 2,687,070 &larr; 2,687,408]
C0299	+	[C0299 1,230,629 &rarr; 1,230,707]
mgtL // mgtA	+	[mgtA 4,467,431 &rarr; 4,470,321]
fliE	-	[fliE 2,012,700 &larr; 2,013,014]
