# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_to_flat_Clim_half_lives.py on Wed Nov  5 23:35:39 2025
id	HL_value
"DUTP-PYROP-MONOMER"	12.0
"EG10302-MONOMER"	12.0
"FLIM-FLAGELLAR-C-RING-SWITCH"	12.0
"OHMETHYLBILANESYN-MONOMER"	12.0
"HISTPHOSTRANS-MONOMER"	12.0
"IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER"	12.0
"HISTDEHYD-MONOMER"	12.0
"HISTCYCLOPRATPPHOS"	12.0
"EG10523-MONOMER"	12.0
"PD00237"	1.4119100584576143
"EG10670-MONOMER"	12.0
"6PFK-2-MONOMER"	12.0
"PYRUVOXID-MONOMER"	12.0
"GLUTSEMIALDEHYDROG-MONOMER"	12.0
"EG10762-MONOMER"	12.0
"SDH-FE-S"	12.0
"TAR-MONOMER"	11.525498073076998
"TAP-MONOMER"	6.179481416590349
"CHORISMUTPREPHENDEHYDROG-MONOMER"	12.0
"USHA-MONOMER"	12.0
"APPA-MONOMER"	12.0
"HISP-MONOMER"	12.0
"PUTP-MONOMER"	12.0
"VALS-MONOMER"	12.0
"CHEB-MONOMER"	6.887193907832815
"nan"	2.38806117511581
"PHET-MONOMER"	12.0
"PD00413"	12.0
"HOMSUCTRAN-MONOMER"	7.754961606994913
"AROB-MONOMER"	12.0
"EG10825-MONOMER"	12.0
"EG10454-MONOMER"	12.0
"DEOA-MONOMER"	12.0
"GLYCOGEN-BRANCH-MONOMER"	12.0
"LEUS-MONOMER"	12.0
"DALADALALIGB-MONOMER"	12.0
"THREODEHYD-MONOMER"	12.0
"LARGEILVB-MONOMER"	6.513409206558677
"AIRS-MONOMER"	12.0
"GART-MONOMER"	12.0
"FOLC-MONOMER"	12.0
"ISOCITDEH-SUBUNIT"	12.0
"ARABISOM-MONOMER"	12.0
"OROTPDECARB-MONOMER"	12.0
"EG11128-MONOMER"	5.054072854804561
"PHES-MONOMER"	12.0
"CPDB-MONOMER"	12.0
"EG10626-MONOMER"	12.0
"CREB-MONOMER"	12.0
"UDPNACETYLMURAMATEDEHYDROG-MONOMER"	12.0
"EG11059-MONOMER"	12.0
"EG10824-MONOMER"	9.241090555062293
"EG10968-MONOMER"	12.0
"PHOR-MONOMER"	12.0
"CREC-MONOMER"	12.0
"EG10203-MONOMER"	12.0
"EG10240-MONOMER"	12.0
"ASPKINIII-MONOMER"	12.0
"PTSI-MONOMER"	12.0
"EG10459-MONOMER"	12.0
"EG10458-MONOMER"	12.0
"MALATE-SYNTHASE"	6.565653530892519
"PURK-MONOMER"	12.0
"EG11073-MONOMER"	12.0
"VALINE-PYRUVATE-AMINOTRANSFER-MONOMER"	12.0
"XYLULOKIN-MONOMER"	12.0
"UROGENIIISYN-MONOMER"	12.0
"HEMX-MONOMER"	12.0
"UDPGLUCEPIM-MONOMER"	12.0
"GALACTURIDYLYLTRANS-MONOMER"	12.0
"2-ISOPROPYLMALATESYN-MONOMER"	9.092276983255124
"EG10858-MONOMER"	7.367844149142731
"SPERMIDINESYN-MONOMER"	10.590265228927464
"EG10673-MONOMER"	12.0
"NAGE-MONOMER"	12.0
"EG10416-MONOMER"	12.0
"PYRUVFORMLY-MONOMER"	6.071234801090298
"GLYCPDIESTER-PERI-MONOMER"	12.0
"MANNPDEHYDROG-MONOMER"	12.0
"PUTA-MONOMER"	6.692446912186869
"EG10218-MONOMER"	12.0
"ARGT-MONOMER"	12.0
"GLUSYNLARGE-MONOMER"	12.0
"GLUSYNSMALL-MONOMER"	12.0
"MODC-MONOMER"	12.0
"UHPB-MONOMER"	12.0
"EG10837-MONOMER"	6.595411456239308
"EG11061-MONOMER"	12.0
"2-OCTAPRENYLPHENOL-HYDROX-MONOMER"	12.0
"ACETATEKINA-MONOMER"	12.0
"LEUC-MONOMER"	5.193581688780325
"EG50003-MONOMER"	12.0
"ALARACEBIOSYN-MONOMER"	12.0
"G7325-MONOMER"	5.411879341771209
"EG10651-MONOMER"	4.232673824093913
"N-ACETYLTRANSFER-MONOMER"	6.581998718764406
"ACETYLGLUTKIN-MONOMER"	12.0
"PD00194"	12.0
"AROA-MONOMER"	12.0
"AROK-MONOMER"	9.18490944600284
"AROL-MONOMER"	12.0
"ARGSUCCINSYN-MONOMER"	12.0
"ATPC-MONOMER"	12.0
"G6851-MONOMER"	7.833050698331506
"CARBPSYN-SMALL"	12.0
"GLYCEROL-KIN-MONOMER"	12.0
"EG10599-MONOMER"	12.0
"EG10600-MONOMER"	12.0
"G7409-MONOMER"	12.0
"EG10158-MONOMER"	12.0
"EG10159-MONOMER"	2.8188068206377426
"EG11881-MONOMER"	12.0
"CARDIOLIPSYN-MONOMER"	12.0
"CMPKI-MONOMER"	12.0
"PANTOTHENATE-KIN-MONOMER"	12.0
"EG12312-MONOMER"	12.0
"ADENYLYLSULFKIN-MONOMER"	12.0
"DALADEHYDROGA-MONOMER"	1.895910427464276
"DALADALALIGA-MONOMER"	12.0
"DIAMINOPIMEPIM-MONOMER"	12.0
"EG11440-MONOMER"	12.0
"PPENTOMUT-MONOMER"	12.0
"DEOXYRIBOSE-P-ALD-MONOMER"	12.0
"DIHYDRODIPICSYN-MONOMER"	12.0
"ACNEULY-MONOMER"	10.86999334201316
"ALTRO-OXIDOREDUCT-MONOMER"	12.0
"EG12131-MONOMER"	12.0
"EG11852-MONOMER"	12.0
"EG10360-MONOMER"	12.0
"EG12099-MONOMER"	12.0
"EG12035-MONOMER"	12.0
"EG11033-MONOMER"	12.0
"G7319-MONOMER"	12.0
"EG11203-MONOMER"	12.0
"ENOLASE-MONOMER"	12.0
"FABA-MONOMER"	12.0
"FABZ-MONOMER"	12.0
"FABH-MONOMER"	12.0
"FLGH-FLAGELLAR-L-RING"	12.0
"GLYC3PDEHYDROGBIOSYN-MONOMER"	12.0
"PGLUCISOM"	12.0
"GALACTOKIN-MONOMER"	12.0
"GTP-CYCLOHYDRO-I-MONOMER"	8.830140748140511
"EG10375-MONOMER"	4.111674963803718
"EG10376-MONOMER"	12.0
"GLYCOGENSYN-MONOMER"	12.0
"GLUC1PADENYLTRANS-MONOMER"	12.0
"GLUCOKIN-MONOMER"	12.0
"G6810-MONOMER"	12.0
"EG10415-MONOMER"	12.0
"GLUTCYSLIG-MONOMER"	12.0
"EG10438-MONOMER"	12.0
"PD00347"	12.0
"PD00348"	12.0
"G7744-MONOMER"	8.057903298184279
"EG10241-MONOMER"	12.0
"EG12130-MONOMER"	12.0
"EG10461-MONOMER"	12.0
"EG10505-MONOMER"	12.0
"EG10506-MONOMER"	12.0
"KDO-8PSYNTH-MONOMER"	12.0
"PRPPSYN-MONOMER"	12.0
"DTMPKI-MONOMER"	12.0
"UDPNACETYLGLUCOSAMACYLTRANS-MONOMER"	12.0
"UDPACYLGLCNACDEACETYL-MONOMER"	1.1087388234580378
"EG11438-MONOMER"	12.0
"METHGLYSYN-MONOMER"	12.0
"EG10598-MONOMER"	8.50791110501113
"EG11666-MONOMER"	12.0
"EG11180-MONOMER"	12.0
"EG11433-MONOMER"	10.85900196003416
"EG12394-MONOMER"	11.119223095682806
"UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER"	12.0
"NICONUCADENYLYLTRAN-MONOMER"	12.0
"G7717-MONOMER"	12.0
"GLUCOSAMINE-6-P-DEAMIN-MONOMER"	12.0
"NANE-MONOMER"	12.0
"NUCLEOSIDE-DIP-KIN-MONOMER"	12.0
"G7459-MONOMER"	12.0
"EG10666-MONOMER"	12.0
"G7842-MONOMER"	12.0
"ASPCARBCAT-MONOMER"	12.0
"PDXJ-MONOMER"	12.0
"6PFK-1-MONOMER"	12.0
"PGK"	12.0
"PGAM2-MONOMER"	12.0
"EG10689-MONOMER"	12.0
"GLYCEROL-3-P-ACYLTRANSFER-MONOMER"	12.0
"INORGPYROPHOSPHAT-MONOMER"	12.0
"PPK-MONOMER"	12.0
"GLUTKIN-MONOMER"	12.0
"EG11676-MONOMER"	12.0
"PD00205"	7.246430945810839
"EG10785-MONOMER"	12.0
"ADENYLOSUCCINATE-SYN-MONOMER"	12.0
"SAICARSYN-MONOMER"	12.0
"DIHYDROOROTOX-MONOMER"	12.0
"OROPRIBTRANS-MONOMER"	12.0
"CTPSYN-MONOMER"	12.0
"UMPKI-MONOMER"	12.0
"ASPCARBREG-MONOMER"	12.0
"EG10812-MONOMER"	12.0
"EG11178-MONOMER"	12.0
"EG10823-MONOMER"	12.0
"EG10828-MONOMER"	12.0
"EG10761-MONOMER"	12.0
"EG12114-MONOMER"	12.0
"GTP-CYCLOHYDRO-II-MONOMER"	12.0
"DIOHBUTANONEPSYN-MONOMER"	1.5106090684086166
"EG10871-MONOMER"	12.0
"EG10872-MONOMER"	12.0
"EG10873-MONOMER"	12.0
"EG10880-MONOMER"	11.251363896775691
"EG10864-MONOMER"	12.0
"EG10881-MONOMER"	12.0
"EG50002-MONOMER"	12.0
"EG10886-MONOMER"	12.0
"EG10870-MONOMER"	12.0
"EG10909-MONOMER"	12.0
"EG10910-MONOMER"	12.0
"EG10911-MONOMER"	12.0
"EG10912-MONOMER"	9.960147645652288
"EG10915-MONOMER"	10.613707175279057
"EG10917-MONOMER"	12.0
"EG10918-MONOMER"	12.0
"EG10919-MONOMER"	12.0
"EG10901-MONOMER"	12.0
"EG10902-MONOMER"	12.0
"EG10903-MONOMER"	12.0
"EG10904-MONOMER"	12.0
"EG10907-MONOMER"	12.0
"EG10908-MONOMER"	12.0
"EG11153-MONOMER"	12.0
"EG10857-MONOMER"	12.0
"RIB5PISOMA-MONOMER"	12.0
"EG10893-MONOMER"	12.0
"EG10899-MONOMER"	9.317266514159355
"EG10335-MONOMER"	12.0
"EG10923-MONOMER"	12.0
"EG10924-MONOMER"	11.121208875286587
"EG10925-MONOMER"	12.0
"S-ADENMETSYN-MONOMER"	8.389075893883476
"EG10941-MONOMER"	12.0
"EG10949-MONOMER"	12.0
"GLYOHMETRANS-MONOMER"	12.0
"DCTA-MONOMER"	12.0
"EG11782-MONOMER"	12.0
"SUCCCOASYN-BETA"	12.0
"EG11817-MONOMER"	11.628312683033318
"EG10996-MONOMER"	12.0
"EG11003-MONOMER"	12.0
"TRYPTOPHAN-MONOMER"	12.0
"EG11008-MONOMER"	12.0
"TPI-MONOMER"	12.0
"G6660-MONOMER"	12.0
"TRANSALDOLA-MONOMER"	12.0
"TRANSALDOLB-MONOMER"	12.0
"EG11023-MONOMER"	12.0
"TRYPSYN-APROTEIN"	12.0
"TRYPSYN-BPROTEIN"	12.0
"PD00423"	12.0
"THYMIDYLATESYN-MONOMER"	12.0
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER"	12.0
"EG12146-MONOMER"	12.0
"EG11137-MONOMER"	12.0
"G7068-MONOMER"	12.0
"EG11132-MONOMER"	12.0
"EG11179-MONOMER"	12.0
"EG11100-MONOMER"	12.0
"G6451-MONOMER"	12.0
"EG11323-MONOMER"	12.0
"EG11320-MONOMER"	12.0
"G6230-MONOMER"	12.0
"G6550-MONOMER"	12.0
"G6568-MONOMER"	12.0
"EG12605-MONOMER"	9.111285226821105
"G6240-MONOMER"	12.0
"URACIL-PRIBOSYLTRANS-MONOMER"	12.0
"UDK-MONOMER"	12.0
"EG11062-MONOMER"	12.0
"EG11063-MONOMER"	12.0
"UXAC-MONOMER"	12.0
"PD01343"	12.0
"EG11835-MONOMER"	12.0
"G7525-MONOMER"	12.0
"EG10011-MONOMER"	11.059656973458711
"EG11254-MONOMER"	12.0
"EG10844-MONOMER"	12.0
"PSD-MONOMER"	12.0
"SERS-MONOMER"	12.0
"ASNS-MONOMER"	12.0
"THRS-MONOMER"	12.0
"G7087-MONOMER"	12.0
"EG12855-MONOMER"	12.0
"LYSS-MONOMER"	12.0
"LYSU-MONOMER"	12.0
"G7532-MONOMER"	12.0
"EG11071-MONOMER"	6.16428984067735
"FUM-MEMB1"	12.0
"EG11879-MONOMER"	12.0
"EG12870-MONOMER"	12.0
"EG11449-MONOMER"	12.0
"EG10490-MONOMER"	12.0
"EG11497-MONOMER"	12.0
"RPOC-MONOMER"	12.0
"EG11650-MONOMER"	3.8594463603894313
"G7175-MONOMER"	12.0
"RPOB-MONOMER"	12.0
"PD01520"	12.0
"G7678-MONOMER"	12.0
"G6882-MONOMER"	12.0
"G7524-MONOMER"	12.0
"G7188-MONOMER"	12.0
"EG11410-MONOMER"	12.0
"EG11820-MONOMER"	12.0
"EG11850-MONOMER"	12.0
"EG11195-MONOMER"	12.0
"EG11121-MONOMER"	12.0
"EG11110-MONOMER"	12.0
"G7837-MONOMER"	12.0
"EG10658-MONOMER"	12.0
"G6881-MONOMER"	12.0
"G6968-MONOMER"	12.0
"EG10669-MONOMER"	12.0
"EG10684-MONOMER"	12.0
"EG11124-MONOMER"	12.0
"EG12117-MONOMER"	12.0
"PGPPHOSPHAB-MONOMER"	12.0
"EG11035-MONOMER"	12.0
"G7457-MONOMER"	5.1367208942862455
"G6093-MONOMER"	12.0
"EG10851-MONOMER"	12.0
"SPERMACTRAN-MONOMER"	12.0
"FABB-MONOMER"	12.0
"KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER"	12.0
"G7184-MONOMER"	12.0
"ANSA-MONOMER"	12.0
"CHEW-MONOMER"	4.7231203899566765
"EG12179-MONOMER"	0.7956878821996505
"EG10242-MONOMER"	12.0
"FRUCBISALD-CLASSI-MONOMER"	12.0
"F16B-MONOMER"	12.0
"EG10921-MONOMER"	12.0
"EG10347-MONOMER"	3.2101335593361977
"PD00260"	12.0
"GAPDH-A-MONOMER"	12.0
"ERYTH4PDEHYDROG-MONOMER"	12.0
"ALDOSE1EPIM-MONOMER"	12.0
"GLUTAMINESYN-MONOMER"	12.0
"EG11517-MONOMER"	12.0
"GST-MONOMER"	12.0
"SERINE-O-ACETTRAN-MONOMER"	10.820355031231054
"MONOMER0-2001"	12.0
"PD00242"	2.0006196360106983
"PD00197"	2.241523132799517
"G6420-MONOMER"	12.0
"PD00232"	12.0
"PD00339"	12.0
"PD03938"	1.15038277515289
"ISOCIT-LYASE-MONOMER"	12.0
"MONOMER0-185"	12.0
"EG12717-MONOMER"	12.0
"COBALADENOSYLTRANS-MONOMER"	11.841411973350729
"CFA-MONOMER"	0.6150498707948193
"EG11149-MONOMER"	12.0
"EG11299-MONOMER"	10.842985071620976
"RIBOKIN-MONOMER"	12.0
"CHORISMUTPREPHENDEHYDRAT-MONOMER"	12.0
"G6363-MONOMER"	12.0
"EG10735-MONOMER"	12.0
"EG11663-MONOMER"	12.0
"G7865-MONOMER"	12.0
"EG12352-MONOMER"	12.0
"PYRROLINECARBREDUCT-MONOMER"	12.0
"EG10542-MONOMER"	12.0
"HYPOXANPRIBOSYLTRAN-MONOMER"	12.0
"GPT-MONOMER"	12.0
"PHOSACETYLTRANS-MONOMER"	12.0
"PFLACTENZ-MONOMER"	12.0
"E3-MONOMER"	12.0
"THIOREDOXIN-REDUCT-NADPH-MONOMER"	12.0
"EG10215-MONOMER"	1.5181165265316023
"GLUCONREDUCT-MONOMER"	12.0
"ARCA-MONOMER"	12.0
"CARBOXYL-TRANSFERASE-BETA-MONOMER"	12.0
"ADHE-MONOMER"	12.0
"ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER"	12.0
"FERREDOXIN-MONOMER"	6.823747904373598
"FTSE-MONOMER"	12.0
"LACTALDREDUCT-MONOMER"	12.0
"GLYCDEH-MONOMER"	12.0
"LIVG-MONOMER"	12.0
"PGLYCDEHYDROG-MONOMER"	12.0
"G7462-MONOMER"	12.0
"YBHF-MONOMER"	12.0
"G6423-MONOMER"	12.0
"EG12431-MONOMER"	2.21532527913691
"YHBG-MONOMER"	12.0
"G7854-MONOMER"	12.0
"YJJK-MONOMER"	12.0
"G7696-MONOMER"	12.0
"ZNUC-MONOMER"	10.66201093360588
"EG10608-MONOMER"	12.0
"PD03695"	1.44826215362149
"EG12204-MONOMER"	9.731139728234828
"PROTEIN-PII"	12.0
"PTSH-MONOMER"	12.0
"EG10874-MONOMER"	12.0
"OMPR-MONOMER"	12.0
"RED-THIOREDOXIN-MONOMER"	12.0
"EG11118-MONOMER"	12.0
"G7449-MONOMER"	12.0
"EG12044-MONOMER"	12.0
"G6265-MONOMER"	12.0
"G6406-MONOMER"	4.278031305603992
"G6990-MONOMER"	12.0
"G6098-MONOMER"	9.925328703001131
"EG11396-MONOMER"	12.0
"EG11246-MONOMER"	12.0
"EG12132-MONOMER"	2.1018106000320387
"CYCA-MONOMER"	9.733574986541043
"DPPD-MONOMER"	12.0
"GLTL-MONOMER"	12.0
"MGLA-MONOMER"	12.0
"PSTB-MONOMER"	12.0
"SAPD-MONOMER"	12.0
"SAPF-MONOMER"	12.0
"EG11506-MONOMER"	12.0
"3-OXOACYL-ACP-SYNTHII-MONOMER"	12.0
"MALONYL-COA-ACP-TRANSACYL-MONOMER"	12.0
"EG10484-MONOMER"	12.0
"EG11256-MONOMER"	5.241127081071013
"G6209-MONOMER"	12.0
"EG12454-MONOMER"	12.0
"EG12879-MONOMER"	12.0
"G6324-MONOMER"	12.0
"G6323-MONOMER"	12.0
"EG12851-MONOMER"	12.0
"G6380-MONOMER"	12.0
"G6407-MONOMER"	12.0
"G6422-MONOMER"	12.0
"EG12690-MONOMER"	12.0
"G6472-MONOMER"	12.0
"EG12166-MONOMER"	12.0
"G6496-MONOMER"	12.0
"EG12703-MONOMER"	7.699113124725258
"EG12876-MONOMER"	12.0
"G6527-MONOMER"	12.0
"EG11117-MONOMER"	12.0
"EG11119-MONOMER"	12.0
"G6565-MONOMER"	12.0
"G6616-MONOMER"	12.0
"EG12404-MONOMER"	12.0
"EG12691-MONOMER"	12.0
"PNTB-MONOMER"	12.0
"FRUCTBISALD-CLASSII-MONOMER"	12.0
"AKBLIG-MONOMER"	12.0
"BRANCHED-CHAINAMINOTRANSFER-MONOMER"	12.0
"EG10662-MONOMER"	12.0
"EG12073-MONOMER"	12.0
"ASL-MONOMER"	12.0
"AROG-MONOMER"	12.0
"ATPB-MONOMER"	12.0
"ATPF-MONOMER"	12.0
"ATPH-MONOMER"	12.0
"ATPG-MONOMER"	12.0
"ATPA-MONOMER"	12.0
"ATPD-MONOMER"	12.0
"EG10435-MONOMER"	12.0
"EG10436-MONOMER"	12.0
"EG10113-MONOMER"	12.0
"CARBOXYL-TRANSFERASE-ALPHA-MONOMER"	12.0
"BCCP-MONOMER"	12.0
"EG10690-MONOMER"	12.0
"G7287-MONOMER"	12.0
"CYTIDEAM-MONOMER"	12.0
"EG10607-MONOMER"	12.0
"EG10339-MONOMER"	12.0
"CITSYN-MONOMER"	12.0
"EG10156-MONOMER"	1.1231144300182805
"CORA-MONOMER"	12.0
"CYOB-MONOMER"	12.0
"CYOA-MONOMER"	12.0
"CYDA-MONOMER"	12.0
"ACSERLYA-MONOMER"	12.0
"EG12052-MONOMER"	12.0
"DIACYLGLYKIN-MONOMER"	12.0
"DEOD-MONOMER"	12.0
"EG10004-MONOMER"	12.0
"TSA-REDUCT-MONOMER"	12.0
"DIHYDROFOLATEREDUCT-MONOMER"	12.0
"EG10230-MONOMER"	7.995833531824134
"EG10239-MONOMER"	12.0
"EG11415-MONOMER"	4.442362126309819
"EG11311-MONOMER"	12.0
"NAPHTHOATE-SYN-MONOMER"	12.0
"EG11404-MONOMER"	7.621941877234985
"EG11383-MONOMER"	12.0
"EG11010-MONOMER"	12.0
"EG10272-MONOMER"	2.3313233353818896
"EG11011-MONOMER"	12.0
"FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN"	8.527862227371278
"EG10322-MONOMER"	4.00725722036154
"FLIG-FLAGELLAR-SWITCH-PROTEIN"	10.16837032153522
"G7663-MONOMER"	12.0
"EG10985-MONOMER"	12.0
"G7352-MONOMER"	12.0
"H2PTEROATESYNTH-MONOMER"	12.0
"H2NEOPTERINALDOL-MONOMER"	12.0
"H2NTPEPIM-MONOMER"	8.50894558803129
"EG11158-MONOMER"	12.0
"FTSX-MONOMER"	12.0
"FUMA-MONOMER"	12.0
"ASPARTASE-MONOMER"	12.0
"SDH-FLAVO"	12.0
"SDH-MEMB2"	12.0
"FUM-FE-S"	12.0
"GLU6PDEHYDROG-MONOMER"	12.0
"GRXB-MONOMER"	12.0
"GRXC-MONOMER"	12.0
"EG12181-MONOMER"	12.0
"KDOTRANS-MONOMER"	12.0
"GLYOXI-MONOMER"	10.43207491083465
"GLYOXII-MONOMER"	11.955980869334724
"GLYCOPHOSPHORYL-MONOMER"	12.0
"MONOMER0-1701"	12.0
"EG11762-MONOMER"	12.0
"EG10977-MONOMER"	12.0
"G6438-MONOMER"	12.0
"EG10236-MONOMER"	12.0
"PORPHOBILSYNTH-MONOMER"	12.0
"PROTOPORGENOXI-MONOMER"	12.0
"EG10434-MONOMER"	12.0
"EG12332-MONOMER"	5.380029993859389
"NAG1P-URIDYLTRANS-MONOMER"	12.0
"G7324-MONOMER"	2.849425831830554
"HYBC-MONOMER"	12.0
"EG12172-MONOMER"	11.300947418966237
"EG10466-MONOMER"	12.0
"EG10467-MONOMER"	11.751923090143334
"PD00288"	12.0
"EG11554-MONOMER"	12.0
"PD00208"	7.765241222436057
"PD04418"	12.0
"EG20253-MONOMER"	12.0
"PD00353"	12.0
"G6247-MONOMER"	12.0
"PD00257"	12.0
"G7630-MONOMER"	12.0
"PD03576"	12.0
"PD03270"	9.328184885108731
"G7546-MONOMER"	3.130007510917134
"EG11088-MONOMER"	12.0
"G6814-MONOMER"	12.0
"G7133-MONOMER"	12.0
"EG11838-MONOMER"	12.0
"G6276-MONOMER"	12.0
"PD04028"	12.0
"PD00521"	12.0
"PD03585"	12.0
"PD00219"	12.0
"PD00214"	12.0
"EG10603-MONOMER"	12.0
"G6867-MONOMER"	12.0
"EG12406-MONOMER"	12.0
"EG11394-MONOMER"	12.0
"EG12176-MONOMER"	12.0
"G6662-MONOMER"	12.0
"G6895-MONOMER"	12.0
"EG11134-MONOMER"	12.0
"G6969-MONOMER"	7.918018188005176
"G6319-MONOMER"	12.0
"DCUR-MONOMER"	7.899127148104117
"EG11139-MONOMER"	12.0
"G7089-MONOMER"	12.0
"EG12007-MONOMER"	12.0
"EG12043-MONOMER"	12.0
"EG12049-MONOMER"	12.0
"G7214-MONOMER"	11.565766013630729
"EG12139-MONOMER"	12.0
"OPPSYN-MONOMER"	12.0
"G6104-MONOMER"	10.761141326787804
"PKI-MONOMER"	12.0
"EG10606-MONOMER"	12.0
"EG10341-MONOMER"	3.715073414555273
"EG12867-MONOMER"	10.325802065185002
"LIVJ-MONOMER"	12.0
"THIOESTERI-MONOMER"	12.0
"EG12111-MONOMER"	12.0
"EG12182-MONOMER"	12.0
"EG10044-MONOMER"	12.0
"EG10855-MONOMER"	12.0
"YCFU-MONOMER"	12.0
"G7889-MONOMER"	12.0
"G7395-MONOMER"	12.0
"G7511-MONOMER"	12.0
"SMALLILVN-MONOMER"	4.382006470596449
"EG10983-MONOMER"	12.0
"IMP-DEHYDROG-MONOMER"	12.0
"ENTB-MONOMER"	7.69035280067232
"EG12378-MONOMER"	12.0
"EG11187-MONOMER"	10.1973334672875
