# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 28.0
# Date and time generated: October 30, 2023, 10:06:52
"id"	"common_name"	"synonyms"	"chemical_formula"	"mw"	"molecular_charge"	"_smiles"
"1-4-beta-D-Glucan"	"a 1,4-&beta;-D-glucan"	["(1,4-&beta;-D-glucosyl)<sub>(n)</sub>", "(1,4-&beta;-D-glucosyl)<sub>(n+1)</sub>", "(1,4-&beta;-D-glucosyl)<sub>(n-1)</sub>"]	null	null	0	"[C@@H]1([R1])([C@H](O)[C@@H](O)[C@@H](O[C@H](CO)1)O[C@H]2([C@H](O)[C@@H](O)[C@@H](O[C@H](CO)2)O[C@H]3([C@H](O)[C@@H](O)[C@@H](O[C@H](CO)3)O[C@H]4([C@H](O)[C@@H](O)[C@H]([R2])O[C@H](CO)4))))"
"1-4-beta-Xylan"	"a (1&rarr;4)-&beta;-D-xylan"	[]	null	null	0	"C4([C@H]([C@@H]([C@H]([C@H](O[C@@H]1(CO[C@H]([C@@H]([C@H]1O)O)O[C@@H]2(CO[C@H]([C@@H]([C@H]2O)O)O[C@@H]3(CO[C@H]([C@@H]([C@H]3O)O)O[R2]))))O4)O)O)O[R1])"
"1-4-D-xylooligosaccharides"	"a (1->4)-&beta;-D-xylan oligosaccharide"	[]	null	null	0	"C4([C@H]([C@@H]([C@H]([C@H](O[C@@H]1(CO[C@H]([C@@H]([C@H]1O)O)O[C@@H]2(CO[C@H]([C@@H]([C@H]2O)O)O[C@@H]3(CO[C@H]([C@@H]([C@H]3O)O)O[R2]))))O4)O)O)O[R1])"
"1-4-Mannan"	"a (1,4)-&beta;-D-mannan"	["a &beta;-1,4-mannoglycan", "a &beta;-(1,4)-D-mannan"]	null	null	0	"C(O)[C@H]1(O[C@H]([C@@H](O)[C@@H](O)[C@H](O[R1])1)O[C@@H]4([C@@H](CO)O[C@@H](O[C@@H]3([C@@H](CO)O[C@@H](O[C@@H]2([C@@H](CO)O[C@@H](O[R2])[C@@H](O)[C@@H](O)2))[C@@H](O)[C@@H](O)3))[C@@H](O)[C@@H](O)4))"
"1-4-Naphthoquinoness"	"a 1,4-naphthoquinones"	[]	null	null	0	null
"1-5-Galactofuran"	"a galactofuran ending with a galactofuranosyl (1->5) linkage"	["a &beta;-D-Gal<i>f</i>-(1->5)-&beta;-(D-Gal<i>f</i>)<sub>n</sub>-Rha-GlcNAc-P-P-C<sub>50</sub>"]	null	null	-2	"CC(C)=CCCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(OP(O[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O[C@@H]6(O[C@@H](C)[C@H](O[C@@H]5(O[C@@H]([C@@H](CO)O[C@@H]4(O[C@@H]([C@@H](CO)O[C@@H]3(O[C@@H]([C@@H](CO)O[C@@H]2(O[C@@H]([C@@H](CO)O[R])[C@H](O)[C@@H](O)2))[C@H](O)[C@@H](O)3))[C@H](O)[C@@H](O)4))[C@H](O)[C@@H](O)5))[C@@H](O)[C@@H](O)6))NC(=O)C))(=O)[O-])(=O)[O-]"
"1-5-L-Arabinooligosaccharides"	"a (1,5)-&alpha;-L-arabinan"	["a (1->5)-&alpha;-L-arabinan", "an &alpha;(1,5)-L-arabinan"]	null	null	0	"C(O[R1])[C@H]6([C@H](O)[C@@H](O)[C@H](OC[C@H]5([C@H](O)[C@@H](O)[C@H](OC[C@H]4([C@H](O)[C@@H](O)[C@H](OC[C@H]3([C@H](O)[C@@H](O)[C@H](OC[C@H]2([C@H](O)[C@@H](O)[C@H](OC[C@H]1([C@H](O)[C@@H](O)[C@H](O[R2])O1))O2))O3))O4))O5))O6)"
"1-6-alpha-D-glucan"	"a (1&rarr;6)-&alpha;-D-glucan"	[]	null	null	0	"C(O[R1])[C@H]1(O[C@@H]([C@H](O)[C@@H](O)[C@H](O)1)OC[C@H]2(O[C@@H]([C@H](O)[C@@H](O)[C@H](O)2)OC[C@H]4(O[C@H](OC[C@@H]3([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O[R2])O3))[C@H](O)[C@@H](O)[C@H](O)4)))"
"1-6-anhydro-MurNAc-pentapeptide"	"1,6-anhydro-MurNAc-pentapeptide"	[]	null	null	-1	"C[C@H](C(=O)N[C@H](C)C(=O)[O-])NC(=O)[C@H](CCCC([R])[NH3+])NC(=O)CC[C@@H](NC(=O)[C@@H](NC([C@H](O[C@@H]1([C@@H](NC(=O)C)C2(OCC([C@@H](O)1)O2)))C)=O)C)C(=O)[O-]"
"1-6-anhydro-MurNAc-tetrapeptide"	"1,6-anhydro-MurNAc-tetrapeptide"	["1,6-anhydrous-N-Acetylmuramoyl-tetrapeptide"]	null	null	-1	"C[C@H](NC([C@H](O[C@@H]1([C@@H](NC(=O)C)C2(OCC([C@@H](O)1)O2)))C)=O)C(N[C@H](CCC(=O)N[C@@H](CCCC([R])[NH3+])C(N[C@H](C)C(=O)[O-])=O)C(=O)[O-])=O"
"1-6-beta-D-Glucan"	"a 1,6-&beta;-D-glucan"	["(1,6-&beta;-D-glucosyl)<sub>(n)</sub>", "(1,6-&beta;-D-glucosyl)<sub>(n+1)</sub>", "(1,6-&beta;-D-glucosyl)<sub>(n-1)</sub>"]	null	null	0	"C(O[R1])[C@H]2(O[C@@H](OC[C@H]1(O[C@@H](O[R2])[C@H](O)[C@@H](O)[C@H](O)1))[C@H](O)[C@@H](O)[C@H](O)2)"
"1-6-Galactofuran"	"a galactofuran ending with a galactofuranosyl (1->6) linkage"	["a &beta;-D-Gal<i>f</i>-(1->6)-&beta;-(D-Gal<i>f</i>)<sub>n-Rha-GlcNAc-P-P-C<sub>50</sub>"]	"C82H135NO31P2"	1692.904	-2	"CC(C)=CCCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(=O)([O-])OP(=O)([O-])O[C@@H]5(O[C@H](CO)[C@@H](O[C@@H]4(O[C@@H](C)[C@H](O[C@H]3([C@H](O)[C@@H](O)C([C@H](O[C@H]2([C@H](O)[C@@H](O)C([C@H](O)CO[C@H]1([C@H](O)[C@@H](O)C([C@H](O)CO)O1))O2))CO)O3))[C@@H](O)[C@@H](O)4))[C@H](O)[C@@H](NC(C)=O)5)"
"1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC"	"a 1-acyl-2-linoleoyl-<i>sn</i>-glycero-3-phosphocholine"	[]	null	null	0	"CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H](COC(=O)[R])COP(=O)([O-])OCC[N+](C)(C)C"
"1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL"	"a 1-acyl-2-oleoyl-<i>sn</i>-glycero-3-phosphocholine"	[]	null	null	0	"CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H](COC(=O)[R])COP([O-])(=O)OCC[N+](C)(C)C"
"1-acyl-2-palmitoleoyl-glycerolipids"	"a 1-acyl-2-palmitoleoyl-[glycerolipid]"	[]	null	null	0	"CCCCCC\C=C/CCCCCCCC(=O)O[C@@H](CO[R2])COC(=O)[R1]"
"1-acyl-2-palmitoyl-glycerolipids"	"a 1-acyl-2-palmitoyl-[glycerolipid]"	[]	null	null	0	"CCCCCCCCCCCCCCCC(=O)O[C@@H](CO[R2])COC(=O)[R1]"
"1-acyl-2-stearoyl-glycerolipids"	"a 1-acyl 2-stearoyl-[glycerolipid]"	[]	null	null	0	"CCCCCCCCCCCCCCCCCC(=O)O[C@@H](CO[R2])COC([R1])=O"
"1-Acyl-sn-glycero-3-phosphocholines"	"a 1-acyl-2-lyso-<i>sn</i>-glycero-3-phosphocholine"	[]	null	null	0	"C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)COC(=O)[R]"
"1-Acyl-sn-glycerols"	"a 1-acyl-<i>sn</i>-glycerol"	[]	null	null	0	"C(O)[C@@H](COC(=O)[R])O"
"1-Alkenes"	"a 1-alkene"	["an &alpha; alkene"]	null	null	0	"C=C[R]"
"1-ALKENYL-2-ACYLGLYCEROL"	"a 2-acyl-1-Z-alk-1-enyl-<i>sn</i>-glycerol"	["a (Z) 2-acyl1-alkenyl-<i>sn</i>-glycerol"]	null	null	0	"C(/[R1])=C\OC[C@@H](OC([R2])=O)CO"
"1-Alkenyl-phosphoglycerol"	"a 1-O-(alk-1-enyl)-<i>sn</i>-3-phosphoglycerol"	["a 1-alkenylphosphoglycerol"]	null	null	-2	"C(/[R])=C\OC[C@H](COP([O-])(=O)[O-])O"
"1-Alkenylglycerophosphoethanolamines"	"a 1-O-(alk-1-enyl)-<i>sn</i>-glycero-3-phosphoethanolamine"	["a 1-alkenylglycerophosphoethanolamine"]	null	null	0	"C(/[R1])=C\OC[C@H](COP(OCC[NH3+])(=O)[O-])O"
"1-Alkyl-2-acetyl-sn-glycero-3-phosphates"	"a 1-alkyl-2-acetyl-<i>sn</i>-glycero 3-phosphate"	[]	null	null	-2	"CC(=O)O[C@@H](COP([O-])(=O)[O-])COC[R]"
"1-Alkyl-2-acyl-glycerol-3-phosphate"	"a 2-acyl-1-alkyl-<i>sn</i>-glycerol 3-phosphate"	[]	null	null	-2	"C(OC[R1])[C@@H](OC(=O)[R2])COP(=O)([O-])[O-]"
"1-Alkyl-2-acyl-glycerol-P-Etn"	"a plasmanylethanolamine"	["an <i>O</i>-1-alkyl-2-acyl-<i>sn</i>-glycero-3-phosphoethanolamine", "a 2-acyl-<i>O</i>-1-alkyl-<i>sn</i>-glycero-3-phosphoethanolamine"]	null	null	0	"C([R1])OC[C@@H](OC([R2])=O)COP([O-])(=O)OCC[NH3+]"
"1-ALKYL-GLYCERONE-3-PHOSPHATE"	"a 1-alkyl-glycerone 3-phosphate"	["a dihydroxyacetone phosphate alkyl ether", "an alkyl-glycerone 3-phosphate", "an O-alkylglycerone phosphate"]	null	null	-2	"C(OC[R])C(=O)COP(=O)([O-])[O-]"
"1-Alkyl-sn-glycero-3-phosphocholines"	"a 1-alkyl-2-lyso-<i>sn</i>-glycero-3-phosphocholine"	["1-radyl-2-lyso-<i>sn</i>-glycero-3-phosphocholine", "1-organyl-2-lyso-<i>sn</i>-glycero-3-phosphocholine"]	null	null	0	"C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)COC[R]"
"1-Alkyl-sn-glycerol-3-phosphates"	"a 1-alkyl-<i>sn</i>-glycerol 3-phosphate"	["a 1-alkyl-sn-glycerol 3-phosphate", "1-O-alkyl-sn-glycerol 3-phosphate"]	null	null	-2	"C(OP([O-])(=O)[O-])[C@H](O)COC[R]"
"1-alpha-Linolenoyl-2-acyl-glycerolipids"	"a 1-&alpha;-linolenoyl 2-acyl-[glycerolipid]"	[]	null	null	0	"CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](OC([R1])=O)CO[R2]"
"1-Alpha-Linolenoyl-L-Phosphatidate"	"a 1-&alpha;-linolenoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate"	[]	null	null	-2	"CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](OC([R])=O)COP([O-])(=O)[O-]"
"1-AMINO-PROPAN-2-OL"	"(<i>R</i>)-1-aminopropan-2-ol"	["(<i>R</i>)-1-aminopropanol", "D-1-amino-2-propanol", "D-1-aminopropan-2-ol"]	"C3H10NO"	76.118	1	"C[C@@H](O)C[NH3+]"
"1-AMINO-PROPAN-2-ONE-3-PHOSPHATE"	"3-amino-1-hydroxyacetone 1-phosphate"	["1-amino-propan-2-one 3-phosphate", "3-amino-2-oxopropyl phosphate"]	"C3H7NO5P"	168.066	-1	"C(C(=O)C[NH3+])OP(=O)([O-])[O-]"
"1-Benzopyrans"	"a 1-benzopyran"	[]	null	null	0	"c2([R5])(c([R4])c1(C([R3])C([R2])C([R1])Oc1c([R7])c([R6])2))"
"1-BETA-D-GALACTOSYL-2-2-HYDROXYACYLS"	"a 1-(&beta;-D-galactosyl)-2-(2-hydroxyacyl)sphingosine"	[]	null	null	0	"CCCCCCCCCCCCC/C=C/C(O)C(CO[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))NC(=O)C(O)[R]"
"1-CHLORO-24-DINITROBENZENE"	"1-chloro-2,4-dinitrobenzene"	["CDNB"]	"C6H3N2O4Cl"	202.554	0	"c1(cc(Cl)c(cc1[N+]([O-])=O)[N+]([O-])=O)"
"1-Cys-Peroxiredoxin-L-cysteine"	"a [1-Cys-peroxiredoxin]-L-cysteine"	[]	null	null	0	"C(=O)([a 1-Cys peroxiredoxin])[C@@H](N[a 1-Cys peroxiredoxin])CS"
"1-Cys-Peroxiredoxin-L-hydroxycysteine"	"a [1-Cys-peroxiredoxin]-<i>S</i>-hydroxy-L-cysteine"	[]	null	null	0	"C(=O)([a 1-Cys peroxiredoxin])[C@@H](N[a 1-Cys peroxiredoxin])CSO"
"1-DEOXYXYLONOJIRIMYCIN"	"1-deoxyxylonojirimycin"	[]	"C5H12NO3"	134.155	1	"C1([NH2+]C[C@@H](O)[C@H](O)[C@@H](O)1)"
"1-ETHYLADENINE"	"<i>N</i><sup>1</sup>-ethyladenine"	[]	"C7H9N5"	163.182	0	"CCn2(cnc1(c(ncn1)c(N)2))"
"1-gamma-linolenoyl-2-acyl-glycerolipids"	"a 1-&gamma;-linolenoyl 2-acyl-[glycerolipid]"	[]	null	null	0	"CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)OC[C@@H](OC([R1])=O)CO[R2]"
"1-gamma-Linolenoyl-L-Phosphatidate"	"a 1-&gamma;-linolenoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate"	[]	null	null	-2	"CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)OC[C@@H](OC([R])=O)COP([O-])(=O)[O-]"
"1-Glycosylimidazoles"	"1-glycosylimidazole"	[]	null	null	0	null
"1-Haloalkanes"	"a 1-haloalkane"	[]	null	null	0	"C([X])[R]"
"1-Hydroxy-2-oxolimonenes"	"a 1-hydroxymenth-8-en-2-one"	["a 1-hydroxy-2-oxolimonene"]	"C10H16O2"	168.235	0	"C=C(C1(CCC(O)(C)C(=O)C1))C"
"1-KETO-2-METHYLVALERATE"	"(<i>R</i>)-2,3-dihydroxy-3-methylpentanoate"	["(<i>R</i>)-2,3-dihydroxy-3-methylvalerate"]	"C6H11O4"	147.15	-1	"CC[C@@](C)(O)[C@H](C([O-])=O)O"
"1-Linoleoyl-2-acyl-glycerolipids"	"a 1-linoleoyl 2-acyl-[glycerolipid]"	[]	null	null	0	"CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](OC([R1])=O)CO[R2]"
"1-Linoleoyl-L-Phosphatidate"	"a 1-linoleoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate"	[]	null	null	-2	"CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](OC([R])=O)COP([O-])(=O)[O-]"
"1-Lyso-phospholipids"	"a 1-lysophospholipid"	[]	null	null	-1	"C(OP([O-])(=O)O[R2])[C@H](OC(=O)[R1])CO"
"1-Lysophosphatidylglycerols"	"a 1-lysophosphatidylglycerol"	["a 1-lyso-2-acyl-<i>sn</i>-glycero-3-phosphoglycerol", "a 2-acyl-1-lysophosphatidylglycerol"]	null	null	-1	"C([C@H](O)COP([O-])(=O)OC[C@H](OC([R])=O)CO)O"
"1-Lysophosphatidylserines"	"a 1-lysophosphatidylserine"	["a 2-acyl-1-lyso-<i>sn</i>-glycero-3-phospho-L-serine", "a 2-acyl-1-lyso-phosphatidylserine"]	null	null	-1	"C([O-])(=O)[C@@H]([NH3+])COP([O-])(=O)OC[C@@H](CO)OC(=O)[R]"
"1-O-ALKYL-2-ACETYL-3-ACYL-SN-GLYCEROL"	"a 2-acetyl-3-acyl-1-<i>O</i>-alkyl-<i>sn</i>-glycerol"	[]	null	null	0	"CC(=O)O[C@@H](COC([R2])=O)COC[R1]"
"1-O-ALKYL-2-ACETYL-SN-GLYCEROL"	"1-<i>O</i>-alkyl-2-acetyl-<i>sn</i>-glycerol"	["a 1-alkyl-2-acetyl-<i>sn</i>-glycerol"]	null	null	0	"CC(=O)O[C@@H](CO)COC[R]"
"1-oleoyl-2-acyl-glycerolipids"	"a 1-oleoyl 2-acyl-[glycerolipid]"	[]	null	null	0	"CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](OC([R1])=O)CO[R2]"
"1-Oleoyl-L-Phosphatidate"	"a 1-oleoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate"	[]	null	null	-2	"CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](OC([R])=O)COP([O-])(=O)[O-]"
"1-Palmitoyl-2-Acyl-Glycerol-P"	"a 1-palmitoyl-2-acyl-<i>sn</i>-glycerol 3-phosphate"	[]	null	null	-2	"CCCCCCCCCCCCCCCC(=O)OC[C@@H](OC(=O)[R])COP([O-])(=O)[O-]"
"1-PALMITOYLGLYCEROL-3-PHOSPHATE"	"1-palmitoyl-<i>sn</i>-glycerol 3-phosphate"	[]	"C19H37O7P"	408.471	-2	"CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]"
"1-PHOSPHATIDYL-1D-MYO-INOSITOL-34-BISPH"	"a 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate"	["a 1-phosphatidyl-myo-inositol 3,4-bisphosphate", "1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4'-bisphosphate)", "PtdIns(3,4)P<sub>2</sub>"]	null	null	-5	"C(OC(=O)[R1])[C@H](COP(=O)([O-])O[C@@H]1([C@H](O)[C@H](OP([O-])([O-])=O)[C@@H](OP(=O)([O-])[O-])[C@H](O)[C@@H](O)1))OC(=O)[R2]"
"1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH"	"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate"	["PtdIns(3,5)P<sub>2</sub>"]	null	null	-5	"C(OC(=O)[R1])[C@H](COP(=O)([O-])O[C@@H]1([C@H](O)[C@H](OP([O-])([O-])=O)[C@@H](O)[C@H](OP(=O)([O-])[O-])[C@@H](O)1))OC(=O)[R2]"
"1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA"	"a 1-phosphatidyl-1D-myo-inositol 5-phosphate"	["PtdIns5P", "2,3-bis(alkanoyloxy)propyl (1R,2R,3R,4R,5S,6R)-2,3,4,6-tetrahydroxy-5-(phosphonatooxy)cyclohexyl phosphate", "1-phosphatidyl-1D-myo-inositol 5-phosphate trianion", "PI(5)P"]	null	null	-3	"C(OC(=O)[R1])[C@H](COP(=O)([O-])O[C@@H]1([C@H](O)[C@H](O)[C@@H](O)[C@H](OP(=O)([O-])[O-])[C@@H](O)1))OC(=O)[R2]"
"1-Phosphatidyl-2-O-D-Ala-Glycerol"	"2-<i>O</i>-D-alanyl-1-<i>O</i>-phosphatidylglycerol"	["PG-D-Ala"]	null	null	0	"C[C@@H]([NH3+])C(=O)O[C@@H](CO)COP(=O)([O-])OC[C@@H](COC(=O)[R1])OC(=O)[R2]"
"1-PHOSPHATIDYL-MYO-INOSITOL-2-MANNOSE"	"a 2-<i>O</i>-(&alpha;-D-mannosyl)-1-phosphatidyl-1D-myo-inositol"	["PIM1"]	null	null	-1	"C([C@H]2(O[C@H](O[C@@H]1([C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H](OP(=O)([O-])OC[C@@H](COC(=O)[R1])OC(=O)[R2])1))[C@H]([C@H]([C@@H]2O)O)O))O"
"1-RADYL-2-ACYL-SN-GLYCERO-3-PHOSPHOLIPID"	"a 1-organyl-2-lyso-<i>sn</i>-glycero-3-phospholipid"	["a 1-radyl-2-acyl-<i>sn</i>-glycero-3-phospholipid"]	null	null	-1	"C(O[R1])[C@@H](O)COP(=O)([O-])O[R2]"
"1-stearidonoyl-2-acyl-glycerolipids"	"a 1-stearidonoyl 2-acyl-[glycerolipid]"	[]	null	null	0	"CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC[C@@H](OC([R1])=O)CO[R2]"
"1-stearidonoyl-L-Phosphatidate"	"a 1-stearidonoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate"	[]	null	null	-2	"CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC[C@@H](OC([R])=O)COP([O-])(=O)[O-]"
"10-FORMYL-DIHYDROFOLATE-GLU-N"	"an <i>N</i><sup>10</sup>-formyl-7,8-dihydrofolate"	[]	null	null	-1	"C([R])(CC[C@@H](C(=O)[O-])NC(=O)c1(ccc(cc1)N(C=O)CC3(CNc2(c(c(=O)[nH]c(N)n2)N=3))))=O"
"10-FORMYL-THF"	"10-formyl-tetrahydrofolate mono-L-glutamate"	["N<sup>10</sup>-formyl-tetrahydrofolate mono-L-glutamate", "N<sup>10</sup>-formyl-THF mono-L-glutamate", "N<sup>10</sup>-formyl-H<sub>4</sub>F mono-L-glutamate", "10-formyl-THF mono-L-glutamate", "10-formyl-H<sub>4</sub>PteGlu<sub>1</sub>", "<i>N</i><sup>10</sup>-formyl-H<sub>4</sub>PteGlu<sub>1</sub>"]	"C20H21N7O7"	471.429	-2	"C2([C@H](CN(C=O)c1(ccc(C(=O)N[C@H](C(=O)[O-])CCC([O-])=O)cc1))Nc3(c(=O)[nH]c(N)nc(N2)3))"
"11-13-Eicosadienoates"	"an 11,13-icosadienoate"	["11,13-eicosadienoic acid", "an 11,13-eicosadienoate"]	"C20H35O2"	307.495	-1	"CCCCCC/C=C/C=C/CCCCCCCCCC([O-])=O"
"11-Beta-Hydroxysteroids1"	"an 11-&beta;-hydroxysteroid"	[]	null	null	0	"CC34(C[C@H](O)C2(C(CCC1(CCCCC(C)12))C(CCC([R])3)4))"
"11-Cis-Retinyl-Esters"	"an 11-<i>cis</i>-retinyl ester"	[]	null	null	0	"CC(/C=C/C1(/C(C)(C)CCCC(/C)=1))=C\C=C/C(\C)=C/COC([R])=O"
"11-DEOXY-CORTISOL"	"11-desoxycortisol"	["substance S, Reichstein's", "11-desoxycortisone", "cortexolone", "Reichstein's substance S", "cortodoxone"]	"C21H30O4"	346.466	0	"C[C@@]34([C@H]2(CC[C@@]1(C)([C@@H](CC[C@@](C(=O)CO)(O)1)[C@@H]2CCC/3=C\C(=O)CC4)))"
"11-DEOXYCORTICOSTERONE"	"11-deoxycorticosterone"	["deoxycorticosterone", "cortexone", "21-hydroxy-4-pregnene-3,20-dione"]	"C21H30O3"	330.466	0	"C[C@@]34([C@H]2(CC[C@@]1(C)([C@@H](CC[C@H](C(=O)CO)1)[C@@H]2CCC/3=C\C(=O)CC4)))"
