"TF"	"geneId"	"oneComponentId"	"twoComponentId"	"nonMetaboliteBindingId"	"activeId"	"_notes"
"cbl"	"G7071"	"G7071-MONOMER"			"G7071-MONOMER"	
"nac"	"G7072"			"G7072-MONOMER"	"G7072-MONOMER"	
"yeeY"	"G7088"			"G7088-MONOMER"	"G7088-MONOMER"	
"yefM"	"EG12844"			"CPLX0-7929"	"CPLX0-7929"	"Dimer"
"baeR"	"EG11618"		"PHOSPHO-BAER"		"PHOSPHO-BAER"	
"ogrK"	"G7119"			"G7119-MONOMER"	"G7119-MONOMER"	
"gatR_1"	"G8207"			"PD02366"	"PD02366"	"GatR1+GatR2 -> PD02366"
"yegW"	"G7133"			"G7133-MONOMER"	"G7133-MONOMER"	"Predicted"
"rcnR"	"G7137"	"G7137-MONOMER"			"G7137-MONOMER"	
"yehT"	"EG12006"		"MONOMER0-4276"		"MONOMER0-4276"	
"mlrA"	"EG12008"			"EG12008-MONOMER"	"EG12008-MONOMER"	
"galS"	"EG10365"	"PD00261"			"PD00261"	
"yeiE"	"EG12105"			"EG12105-MONOMER"	"EG12105-MONOMER"	
"yeiL"	"EG12031"			"EG12031-MONOMER"	"EG12031-MONOMER"	
"narP"	"EG11527"		"PHOSPHO-NARP"		"PHOSPHO-NARP"	
"ada"	"EG10029"			"PD00230"	"PD00230"	
"rcsB"	"EG10821"		"CPLX0-7884"		"CPLX0-7884"	"(RcsB-P)_2: phosporilation + dimerzation"
"atoC"	"EG11668"		"PHOSPHO-ATOC"		"PHOSPHO-ATOC"	
"yfaX"	"G7161"			"G7161-MONOMER"	"G7161-MONOMER"	"Predicted"
"lrhA"	"EG12123"			"EG12123-MONOMER"	"EG12123-MONOMER"	
"dsdX"	"EG10250"	"CPLX0-7713, CPLX0-7714"			"CPLX0-7713, CPLX0-7714"	"Monomer is an inactive conformation - Dimer and Dimer+metabolite are active"
"evgA"	"EG11609"		"PHOSPHO-EVGA"		"PHOSPHO-EVGA"	
"ypdB"	"G7244"		"MONOMER0-4288"		"MONOMER0-4288"	
"ypdC"	"G7245"			"G7245-MONOMER"	"G7245-MONOMER"	"Predicted"
"yfeC"	"EG11431"			"EG11431-MONOMER"	"EG11431-MONOMER"	"Predicted"
"yfeD"	"EG11432"			"EG11432-MONOMER"	"EG11432-MONOMER"	"Predicted"
"xapR"	"EG11146"	"CPLX0-7681"			"CPLX0-7681"	
"yfeR"	"G7257"			"G7257-MONOMER"	"G7257-MONOMER"	"Predicted"
"murR"	"G7262"	"CPLX0-7745"			"CPLX0-7745"	
"eutR"	"EG12190"			"EG12190-MONOMER"	"EG12190-MONOMER"	"Putative ARAC-type regulatory protein"
"gcvR"	"EG11149"	"EG11149-MONOMER"			"EG11149-MONOMER"	
"hyfR"	"G7308"			"G7308-MONOMER"	"G7308-MONOMER"	
"iscR"	"G7326"	"CPLX0-8083"			"CPLX0-8083"	
"hcaR"	"G7331"	"MONOMER0-2081"			"MONOMER0-2081"	
"yphH"	"G7344"			"G7344-MONOMER"	"G7344-MONOMER"	"Predicted"
"glrR"	"EG11285"		"MONOMER0-4147"		"MONOMER0-4147"	
"yfhH"	"EG12308"			"EG12308-MONOMER"	"EG12308-MONOMER"	"Predicted"
"rseC"	"G7347"			"G7347-MONOMER"	"G7347-MONOMER"	
"rseB"	"G7348"			"CPLX0-7648"	"CPLX0-7648"	"Dimer, anti-sigma factor"
"rpoE"	"EG11897"			"RPOE-MONOMER"	"RPOE-MONOMER"	"RNAP subunit"
"yfiE"	"EG11785"			"EG11785-MONOMER"	"EG11785-MONOMER"	"Predicted"
"alpA"	"EG12112"			"PD02850"	"PD02850"	
"yfjR"	"G7369"			"G7369-MONOMER"	"G7369-MONOMER"	"Predicted"
"csiR"	"EG12386"			"EG12386-MONOMER"	"EG12386-MONOMER"	
"ygaV"	"G7397"			"G7397-MONOMER"	"G7397-MONOMER"	"Predicted"
"stpA"	"EG11554"			"EG11554-MONOMER"	"EG11554-MONOMER"	
"mprA"	"EG10603"	"CPLX0-7418"			"CPLX0-7418"	
"gutM"	"EG10972"			"PD00345"	"PD00345"	
"srlR"	"EG10974"	"PD00283"			"PD00283"	
"norR"	"EG12108"			"EG12108-MONOMER"	"EG12108-MONOMER"	
"ascG"	"EG10087"			"EG10087-MONOMER"	"EG10087-MONOMER"	
"hycA"	"EG10474"			"EG10474-MONOMER"	"EG10474-MONOMER"	
"fhlA"	"EG10301"	"MONOMER0-183"			"MONOMER0-183"	
"ygbI"	"G7416"			"G7416-MONOMER"	"G7416-MONOMER"	"Predicted"
"rpoS"	"EG10510"			"RPOS-MONOMER"	"RPOS-MONOMER"	"RNAP subunit"
"fucR"	"EG10353"	"CPLX0-7650"			"CPLX0-7650"	
"gcvA"	"EG11795"	"PD00339"			"PD00339"	
"galR"	"EG10364"	"PD03028"			"PD03028"	
"lysR"	"EG10551"			"PD00360"	"PD00360"	
"ygeH"	"G7472"			"G7472-MONOMER"	"G7472-MONOMER"	
"ygeK"	"G7475"			"G7475-MONOMER"	"G7475-MONOMER"	"Predicted"
"ygeV"	"G7488"			"G7488-MONOMER"	"G7488-MONOMER"	
"argP"	"EG10490"	"CPLX0-7671, CPLX0-7669"			"CPLX0-7671, CPLX0-7669"	"Dimer is an active conformation and, one metabolite (arginine) also induce another active conformation"
"ygfI"	"G7518"			"G7518-MONOMER"	"G7518-MONOMER"	
"yggD"	"EG11162"			"EG11162-MONOMER"	"EG11162-MONOMER"	
"glcC"	"G7546"	"MONOMER0-562"			"MONOMER0-562"	
"yghO"	"G7547"			"G7547-MONOMER"	"G7547-MONOMER"	
"yqhC"	"G7563"			"G7563-MONOMER"	"G7563-MONOMER"	
"mqsA"	"G7571"			"G7571-MONOMER"	"G7571-MONOMER"	
"ygiV"	"G7573"			"G7573-MONOMER"	"G7573-MONOMER"	
"qseB"	"G7575"		"MONOMER0-2741"		"MONOMER0-2741"	
"ttdR"	"EG12694"	"CPLX0-8048"			"CPLX0-8048"	
"rpoD"	"EG10896"			"RPOD-MONOMER"	"RPOD-MONOMER"	"RNAP subunit"
"yqjI"	"G7594"	"G7594-MONOMER"			"G7594-MONOMER"	
"ebgR"	"EG10254"			"PD03254"	"PD03254"	
"higA"	"G7601"			"G7601-MONOMER"	"G7601-MONOMER"	"Antitoxin of the HigB-HigA toxin-antitoxin system"
"exuR"	"EG12739"			"PD03270"	"PD03270"	
"yhaJ"	"G7619"			"G7619-MONOMER"	"G7619-MONOMER"	"Predicted"
"tdcA"	"EG10989"			"PD00268"	"PD00268"	
"tdcR"	"EG10992"			"PD03292"	"PD03292"	
"agaR"	"G7630"			"G7630-MONOMER"	"G7630-MONOMER"	
"sfsB"	"EG10656"			"EG10656-MONOMER"	"EG10656-MONOMER"	
"ibaG"	"G7657"			"G7657-MONOMER"	"G7657-MONOMER"	
"rpoN"	"EG10898"			"RPON-MONOMER"	"RPON-MONOMER"	
"yhcF"	"G7673"			"G7673-MONOMER"	"G7673-MONOMER"	
"nanR"	"G7678"	"G7678-MONOMER"			"G7678-MONOMER"	
"argR"	"EG10070"	"CPLX0-228"			"CPLX0-228"	
"aaeR"	"G7688"			"G7688-MONOMER"	"G7688-MONOMER"	
"fis"	"EG10317"			"CPLX0-7705"	"CPLX0-7705"	"Dimer"
"envR"	"EG11741"			"EG11741-MONOMER"	"EG11741-MONOMER"	
"zntR"	"EG11969"	"CPLX0-7678"			"CPLX0-7678"	
"yheO"	"G7715"			"G7715-MONOMER"	"G7715-MONOMER"	
"crp"	"EG10164"	"CPLX0-226"			"CPLX0-226"	
"frlR"	"G7727"			"G7727-MONOMER"	"G7727-MONOMER"	
"ompR"	"EG10672"		"PHOSPHO-OMPR"		"PHOSPHO-OMPR"	
"feoC"	"EG12933"			"EG12933-MONOMER"	"EG12933-MONOMER"	
"malT"	"EG10562"	"MONOMER0-158"			"MONOMER0-158"	
"rtcR"	"EG12356"			"EG12356-MONOMER"	"EG12356-MONOMER"	
"glpR"	"EG10400"	"PD03576"			"PD03576"	
"gntR"	"EG12630"	"PD03585"			"PD03585"	
"rpoH"	"EG10897"			"RPOH-MONOMER"	"RPOH-MONOMER"	
"nikR"	"EG11519"	"CPLX0-7707"			"CPLX0-7707"	
"arsR"	"EG12235"	"CPLX0-7734"			"CPLX0-7734"	
"dctR"	"EG11889"			"EG11889-MONOMER"	"EG11889-MONOMER"	"Predicted"
"gadE"	"EG11544"			"EG11544-MONOMER"	"EG11544-MONOMER"	
"gadW"	"EG12242"			"EG12242-MONOMER"	"EG12242-MONOMER"	
"gadX"	"EG12243"			"EG12243-MONOMER"	"EG12243-MONOMER"	
"yhjB"	"EG12246"			"EG12246-MONOMER"	"EG12246-MONOMER"	"Predicted"
"yhjC"	"EG12247"			"EG12247-MONOMER"	"EG12247-MONOMER"	"Predicted"
"yiaG"	"EG12624"			"EG12624-MONOMER"	"EG12624-MONOMER"	
"cspA"	"EG10166"			"PD03695"	"PD03695"	
"xylR"	"EG20253"	"MONOMER0-165"			"MONOMER0-165"	
"yiaJ"	"EG12278"			"EG12278-MONOMER"	"EG12278-MONOMER"	
"yiaU"	"EG12289"			"EG12289-MONOMER"	"EG12289-MONOMER"	
"mtlR"	"EG11965"	"PD00369"			"PD00369"	
"lldR"	"EG11962"	"CPLX0-7689"			"CPLX0-7689"	
"uhpA"	"EG11051"		"CPLX0-7754"		"CPLX0-7754"	
"yidF"	"EG11694"			"EG11694-MONOMER"	"EG11694-MONOMER"	"Predicted"
"yidL"	"EG11707"			"EG11707-MONOMER"	"EG11707-MONOMER"	"Putative ARAC-type regulatory protein"
"yidP"	"EG11711"			"EG11711-MONOMER"	"EG11711-MONOMER"	"Predicted"
"dnaA"	"EG10235"	"MONOMER0-160"			"MONOMER0-160"	
"yidZ"	"EG11721"			"EG11721-MONOMER"	"EG11721-MONOMER"	
"asnC"	"EG10093"	"CPLX0-7733"			"CPLX0-7733"	
"rbsR"	"EG10819"	"PD03867"			"PD03867"	
"ilvY"	"EG10503"	"PD00200, CPLX0-7715"			"PD00200, CPLX0-7715"	
"rho"	"EG10845"			"CPLX0-2441"	"CPLX0-2441"	"Hexamer, transcription termination factor"
"metR"	"EG10591"	"CPLX0-7752"			"CPLX0-7752"	
"rfaH"	"EG10839"			"EG10839-MONOMER"	"EG10839-MONOMER"	"Transcriptional antiterminator"
"glnG"	"EG10385"		"PROTEIN-NRIP"		"PROTEIN-NRIP"	
"yihL"	"EG11838"			"EG11838-MONOMER"	"EG11838-MONOMER"	
"yihW"	"EG11849"			"EG11849-MONOMER"	"EG11849-MONOMER"	"Predicted"
"yiiE"	"EG11854"			"EG11854-MONOMER"	"EG11854-MONOMER"	"Predicted"
"frvR"	"EG11861"			"EG11861-MONOMER"	"EG11861-MONOMER"	"Predicted"
"rhaS"	"EG10843"	"CPLX-124"			"CPLX-124"	
"rhaR"	"EG10842"	"MONOMER-47"			"MONOMER-47"	
"cpxR"	"EG10020"		"CPLX0-7748"		"CPLX0-7748"	
"cytR"	"EG10200"	"CPLX0-7740"			"CPLX0-7740"	
"metJ"	"EG10588"	"CPLX0-7796"			"CPLX0-7796"	
"yijO"	"EG11913"			"EG11913-MONOMER"	"EG11913-MONOMER"	"Predicted"
"oxyR"	"EG10681"			"PD00214"	"PD00214"	
"fabR"	"EG11394"			"EG11394-MONOMER"	"EG11394-MONOMER"	
"birA"	"EG10123"	"MONOMER-48"			"MONOMER-48"	
"hupA"	"EG10466"			"EG10466-MONOMER, CPLX0-2021"	"EG10466-MONOMER, CPLX0-2021"	"Subunit and, HU DNA-binding transcriptional dual regulator"
"zraR"	"EG10482"		"PHOSPHO-HYDG"		"PHOSPHO-HYDG"	
"iclR"	"EG10491"	"CPLX0-7605"			"CPLX0-7605"	
"lexA"	"EG10533"			"PC00010"	"PC00010"	"Dimer"
"zur"	"EG11929"	"CPLX0-7680"			"CPLX0-7680"	
"soxS"	"EG10958"			"PD00406"	"PD00406"	
"soxR"	"EG10957"	"PD04132"			"PD04132"	
"rpiR"	"G7821"	"G7821-MONOMER"			"G7821-MONOMER"	
"phnF"	"EG10715"			"EG10715-MONOMER"	"EG10715-MONOMER"	"Predicted"
"basR"	"EG11615"		"PHOSPHO-BASR"		"PHOSPHO-BASR"	
"adiY"	"EG11966"			"EG11966-MONOMER"	"EG11966-MONOMER"	
"melR"	"EG11230"	"MONOMER0-161"			"MONOMER0-161"	
"dcuR"	"G7826"		"PHOSPHO-DCUR"		"PHOSPHO-DCUR"	
"cadC"	"EG10133"			"PD00436"	"PD00436"	
"yjdC"	"EG12176"			"EG12176-MONOMER"	"EG12176-MONOMER"	"Predicted"
"nsrR"	"EG11212"	"CPLX0-7756"			"CPLX0-7756"	
"yjfJ"	"G7847"			"G7847-MONOMER"	"G7847-MONOMER"	"Predicted"
"aidB"	"EG11811"			"CPLX0-7691"	"CPLX0-7691"	"Tetramer"
"ulaR"	"G7854"	"G7854-MONOMER"			"G7854-MONOMER"	
"ytfA"	"G7863"			"G7863-MONOMER"	"G7863-MONOMER"	"Predicted"
"ytfH"	"G7869"			"G7869-MONOMER"	"G7869-MONOMER"	"Predicted"
"treR"	"EG12202"	"CPLX0-7854"			"CPLX0-7854"	
"bdcR"	"G7882"			"G7882-MONOMER"	"G7882-MONOMER"	"Predicted"
"idnR"	"G7891"	"MONOMER0-1301"			"MONOMER0-1301"	
"fecR"	"EG10292"			"EG10292-MONOMER"	"EG10292-MONOMER"	"Regulator for fec operon, periplasmic"
"fecI"	"EG10291"			"PD00440"	"PD00440"	"Sigma 19 factor"
"yjhU"	"G7909"			"G7909-MONOMER"	"G7909-MONOMER"	"Predicted"
"yjhI"	"G7912"			"G7912-MONOMER"	"G7912-MONOMER"	"Predicted"
"sgcR"	"G7913"			"G7913-MONOMER"	"G7913-MONOMER"	"Predicted"
"uxuR"	"EG20249"	"EG20249-MONOMER"			"EG20249-MONOMER"	
"yjiE"	"G7924"	"G7924-MONOMER"			"G7924-MONOMER"	"Had been CPLX0-8075 but that is an oxidized form"
"yjiR"	"G7936"			"G7936-MONOMER"	"G7936-MONOMER"	"Putative regulator"
"yjjM"	"G7944"			"G7944-MONOMER"	"G7944-MONOMER"	"Predicted"
"yjjQ"	"G7947"			"G7947-MONOMER"	"G7947-MONOMER"	"Predicted"
"bglJ"	"G7948"			"CPLX0-7916"	"CPLX0-7916"
"yjjJ"	"EG12342"			"EG12342-MONOMER"	"EG12342-MONOMER"	"Predicted"
"trpR"	"EG11029"	"CPLX-125"			"CPLX-125"	
"rob"	"EG11366"			"PD04418"	"PD04418"	
"creB"	"EG11218"		"PHOSPHO-CREB"		"PHOSPHO-CREB"	
"arcA"	"EG10061"		"PHOSPHO-ARCA"		"PHOSPHO-ARCA"	
"dgoR"	"G7789"			"G7790-MONOMER"	"G7790-MONOMER"	"Predicted"
"hdfR"	"EG11449"			"EG11449-MONOMER"	"EG11449-MONOMER"	
"putA"	"EG10801"	"PUTA-CPLX"			"PUTA-CPLX"	
"alaS"	"EG10034"	"CPLX0-7541"			"CPLX0-7541"	
"pepA"	"EG10694"			"EG10694-MONOMER"	"EG10694-MONOMER"	
"nadR"	"EG11335"			"PD04413"	"PD04413"	
