script,directory,tier,runnable_as,registered,status,reads_raw_extraction,subgen_definition_used,description_and_math,output_files
subgen_operon_membership.py,cohort,def5_ci,argparse CLI (no Plot class),NO -- deliberately,loader shared,no (reads the tables),def5_CI canonical (category == subgen),"Operon membership of the subgen gene set: how many subgen genes are co-transcribed with others, to assess whether operon structure could confound the per-cell uniqueness/Jaccard analysis. Uses the cistron -> transcription-unit map from sim_data; a polycistronic TU (>=2 cistrons) is an operon. Documents how common operons are and lists memberships for the robustness check -- the mean pairwise cell-to-cell Jaccard is governed by each gene's population frequency and is invariant to within-cell co-transcription, so operons do not bias that statistic. Driven by sbatch job 04.",<name>_summary.tsv; <name>_per_gene.tsv; <name>_operons.tsv; <name>_run_metadata.json
subgen_operon_unit_jaccard.py,cohort,def5_ci,argparse CLI (no Plot class),NO -- deliberately,loader shared,no (reads the tables),def5_CI canonical (category == subgen),"Operon-unit robustness check: recomputes the mean pairwise cell-to-cell Jaccard (and its independence and fixed-margins nulls) at the cistron level and at the operon-unit level, where co-transcribed subgen cistrons collapse into one unit (a unit is expressed if ANY of its subgen cistrons fired; units are connected components of the graph linking subgen cistrons that share a TU, handling overlapping TUs). If operons were inflating cell-to-cell similarity, collapsing them would pull the observed Jaccard toward its null. Driven by sbatch job 04.",<name>_summary.tsv; <name>_run_metadata.json
subgen_protein_memory.py,cohort,def5_ci,argparse CLI (no Plot class),NO -- deliberately,loader shared,yes (reads the raw-extract TSVs),def5_CI canonical (category == subgen),"'Protein memory': tests whether frequently-transcribed subgen genes rarely run out of protein, because long protein half-lives carry inherited protein through a generation that fails to transcribe. Both axes are per-lineage rates aggregated to a 95% CI (the def-5 estimator), so they are comparable and scale honestly with more seeds: y = protein-absence rate (expected fraction of cell-cycle TIME at zero copies, time-weighted per cell cycle, averaged within a lineage then across lineages) from _frac_protein_zero_per_cell.tsv; x = transcript-off frequency and def-5 rate from _synth_per_cell.tsv. Note its CIs are error bars on the plotted axes -- the CLASSIFICATION still comes from the per-gene table's category column. Strict filter inherited via the is_successful_lineage column. Driven by sbatch job 04.",<name>_pergene.tsv; <name>_vs_transcript_off.{pdf/png/svg}; <name>_vs_def5_rate.{pdf/png/svg}; <name>_binned.{pdf/png/svg}; <name>_run_metadata.json
subgen_protein_memory_interactive.py,cohort,def5_ci,argparse CLI (no Plot class),NO -- deliberately,unchanged,no (chained off subgen_protein_memory),def5_CI canonical (inherited; already subgen-only),"Joins the per-gene protein-memory table to each protein's translation efficiency and degradation rate from sim_data, writes a self-contained interactive HTML scatter (hover for gene name, transcript-off frequency, protein-absence rate, def-5 rate, translation efficiency, half-life), and analyzes outliers -- especially genes ABOVE the y=x line, where protein is absent a larger fraction of time than the gene is transcriptionally off (the OPPOSITE of memory) -- testing whether short half-life and/or low translation efficiency explains them. Its thresholds are outlier thresholds, not subgen thresholds. Driven by sbatch job 04 (chained after subgen_protein_memory.py).",<name>_pergene.tsv; <name>_outlier_analysis.json; <name>.html
subgen_expression_definitions.py,cohort,descriptive,Plot,"yes (ACTIVE, SUBGENERATIONAL)",pre-existing; def5_CI rows added; helpers deduped,optionally (for the def5_CI rows),Definitions 1-5 (pooled threshold sweep) PLUS the canonical def5_CI for comparison,"Computes five pooled per-gene definitions on identical cells, each value=Sum_cells/n_cells, and sweeps thresholds [1.0,0.99,0.95] with subgen iff 0<value<t. def1 p_present (mRNA present), def2 p_any_init, def3 mean_init events, def4 p_any_synth (any completed transcript), def5 mean_synth (the pooled def5 value). This sweep is a COMPARISON OF CANDIDATE DEFINITIONS, deliberately not the classifier -- and it is the strongest evidence for the canonical rule: the count-based definitions (3/5) are stable at ~1875-1897 genes across all three variant dirs while the presence/any-event ones (1/2/4) swing by ~1000. _definition_summary.tsv now also carries two def5_CI rows (the canonical confident count, and the possibly_subgen count a point estimate would have forced into one bucket), read free from the raw extraction when present and omitted with a note when absent. Its _git_info/_load_sim_metadata/_parse_cell_id were verbatim copies of the subgen_common versions and are now aliases.",<name>.tsv; <name>_definition_summary.tsv; <name>_near_ubiquitous_absences.tsv; <name>_run_metadata.json
subgen_expression_definitions_complete.py,cohort,descriptive,Plot,"yes (ACTIVE, SUBGENERATIONAL)",pre-existing (subclass),inherits parent,Definitions 1-5 (complete-lineage subset) + def5_CI rows,"Subclass of subgen_expression_definitions.py with REQUIRE_COMPLETE_LINEAGE=True (weaker complete-lineage rule: a seed's last successful generation equals the final generation; NO 180-min-cap check, so it is not the strict filter). Identical outputs/columns to the parent, computed on the complete-lineage cell subset, to test how much apparent subgenerational signal is a dying-lineage artifact.",<name>.tsv; <name>_definition_summary.tsv; <name>_near_ubiquitous_absences.tsv; <name>_run_metadata.json
subgen_cell_health_metrics.py,cohort,descriptive,Plot,yes -- registration FIXED,helpers deduped,no (reads simOut directly),none (no gene classification),"Per-cell health metrics across a cohort so outlier ('unhealthy') cells can be identified and cross-referenced against other analyses: doubling_time_min, mean_growth_rate, mean/final cell mass, mean dry mass, mean active RNAP, mean active ribosome, mean ppGpp concentration. Joins the near-ubiquitous-absence report from subgen_expression_definitions.py to flag cells that account for many gene absences. cohort/__init__.py listed a NON-EXISTENT 'cell_health_metrics.py' (the runner swallows ModuleNotFoundError with 'Ignoring an unknown analysis class'), so this script had never run; the entry now names the real file. Uses the weaker ap.get_cells(only_successful=True), not the strict filter -- deliberate, since its job is to find unhealthy cells. Its _git_info/_load_sim_metadata/_parse_cell_id were verbatim copies and are now aliases.",<name>.tsv; <name>_metric_summary.tsv; <name>_flagged_summary.tsv; <name>_lineage_completeness.tsv; <name>_run_metadata.json
subgen_peak_counts.py,cohort,descriptive,Plot,yes -- newly registered,modified (bug fixes + strict filter + shared panel),no,none (curated 10-gene panel),"Counts 0->>0 onsets ('new appearances') per cell for the curated 10-gene panel: onsets(c,g)=Sum_t 1[(count[t,g]>0)-(count[t-1,g]>0)==1]. Bug fixed earlier: originally counted every +1 raw increment (over-counted 5->6, missed 0->2). Bug fixed earlier: rows are read one cell at a time so each onset row stays paired with its own cell path -- a single read_stacked_columns(ignore_exception=True) call silently DROPS unreadable cells, which mislabeled every later row and could IndexError. The gene panel now comes from sc.curated_panel('curated10') instead of an inline copy, so it cannot drift from protein_distribution.py. Strict filter; SEED_RANGE 0-128.",<name>_count_transcipt_peaks.tsv (historical typo in 'transcipt' kept so existing outputs stay findable)
protein_distribution.py,cohort,descriptive,Plot,yes -- newly registered,modified (shared panel),no,none (curated 10-gene panel),"Per-cell NET change in monomer count per generation: monomerCounts[last] - monomerCounts[first]. Row 0 is the daughter's inherited count (Listener.initialUpdate runs before the logger's first write, so it is a real state, not allocate() zeros) and the last row is the pre-division count, so this is a NET quantity -- synthesis minus degradation, which can be negative. Under balanced growth it is close to the inherited count, i.e. about half the final count; it is NOT gross synthesis. Cast to int64 before subtracting, since on an unsigned dtype the negative values this quantity depends on would wrap. There is no per-monomer count of COMPLETED proteins in the listeners (RibosomeData/didTerminate and actualElongations are scalars over all monomers); the nearest gross per-monomer quantity is RibosomeData/ribosome_init_event_per_monomer. Reads one cell at a time to keep rows paired with cell paths. Gene panel now from sc.curated_panel('curated10'). Strict filter.",<name>_new_monomers_per_gen.tsv
transcription_prob_subgen.py,cohort,descriptive,Plot,yes -- newly registered,modified (strict filter; math was correct),no,none (data),"Two per-gene quantities. Time-averaged synthesis probability: actual_rna_synth_prob(g)=(Sum_cells Sum_{t>0} p[t,g])/(Sum_cells (T_cell-1)), where p=actual_rna_synth_prob_per_cistron is already normalized to sum to 1 per timestep (fractional, not absolute). Per-generation existence: prob_mRNA_exists_in_gen(g)=(Sum_c 1[Sum_t mRNA_cistron_counts[t,g]>0])/n_cells.",<name>.tsv
extract_subgen_monomer_counts.py,cohort,descriptive,Plot,yes -- newly registered,modified (bug fix + strict filter + output renamed),no,none (data; all monomers),"Time-averaged (per-timestep) mean copy number for all monomers and their mRNAs: mean_count(g)=(Sum_cells Sum_t count[t,g])/total_timesteps, where total_timesteps is the summed row count across all cells (matches mean_mRNA_counts in subgen_expression_definitions.py). Bug fixed earlier: the normalization was inside the batch loop (dividing repeatedly); now applied once after accumulation. remove_first drops the inherited boundary timestep. Strict filter; SEED_RANGE 0-128. OUTPUT RENAMED: the suffix was '_40_seeds_last_11_gens', which was never true (128 seeds gated to the successful set, over generations 8..n_generation); it is now '_mean_counts'. Existing Sherlock outputs still carry the old name.",<name>_mean_counts.tsv (was <name>_40_seeds_last_11_gens.tsv)
molar_mass_monomers.py,cohort,descriptive,Plot,yes -- newly registered,modified (strict filter + seed range + output renamed),no,none (no classification),"Cohort-wide time-averaged mean mRNA and monomer copy number for every monomer -- extract_subgen_monomer_counts.py's sibling with the classification mask removed. DESPITE THE MODULE NAME IT WRITES NO MOLAR MASSES; the molecular-weight table lives in subsample_cell_monomer_mass.py (_monomer_mws.tsv). Fixed: SEED_RANGE was np.arange(0, 60), silently truncating a 128-seed cohort, and is now sc.SEED_RANGE; the strict successful-lineage filter is now applied (it used only the weaker ap.get_cells(only_successful=True)); the dead TIMEPOINTS_TO_SAMPLE/SAMPLE_PER_SEED/BATCH constants (never referenced -- this script does no subsampling) were removed. OUTPUT RENAMED from the false '_40_seeds_last_11_gens' to '_mean_counts'.",<name>_mean_counts.tsv (was <name>_40_seeds_last_11_gens.tsv)
subgen_monomer_dynamics.py,cohort,descriptive,Plot,yes -- newly registered,modified (shared panel; axis bug fixed; filename fixed),no,none (curated anaerobic panel),"Per-generation normalized count traces (x normalized within each gen: x(t)=gen_number+(t-t_start)/(t_end-t_start)) for a curated anaerobic-respiration gene panel, per plotted seed. The panel now comes from sc.curated_panel('anaerobic'); the 10-gene panel used to sit in this file COMMENTED OUT as a toggle, which made the active panel easy to misread -- switch via PANEL instead. Burn-in now sc.IGNORE_FIRST_N_GENS (was a hardcoded 20). SEEDS stays an explicit list (20-24) but the script now PRINTS which of them passed the strict filter, since that intersection is the only reason the figure count differs between cohorts (set 1: 20,21,22; set 2 v0: +24; v1: +23,24). BUG FIXED: generation-boundary axvlines were drawn at end_generation_times/60 -- minutes on an axis whose units are generation number -- and are removed; the integer x ticks already ARE the boundaries. FILENAME FIXED: the '_gen_{N}' infix was always a SEED, now '_seed{N:06d}'.",<name>_monomer_dynamics_seed<SSSSSS>_<color>.pdf; <name>_mRNA_dynamics_seed<SSSSSS>_<color>.pdf (was _dynamics_gen_<seed>_<color>.pdf)
subsampl_mrna_protein_10k.py,cohort,descriptive,Plot,yes -- newly registered,modified (SAMPLE_PER_SEED bug fixed; metadata added),no,none (data; subsampling),"Subsamples random timesteps per strict-successful lineage (no replacement); each sampled timestep = one pseudo single-cell snapshot. Uses sc.subsample_seed_timepoints (RNG seeded ONCE before the seed loop; draw clamped to available timesteps) and sc.collapse_trna_to_aa for the per-amino-acid tRNA collapse. Bug fixed earlier: monomer counts read from the seed's own cells (was reading the whole cohort). BUG FIXED NOW: the per-lineage draw was TIMEPOINTS_TO_SAMPLE // len(SEED_RANGE), i.e. always /128, so a 95-lineage cohort drew 78*95=7410 timepoints instead of ~10000 and cohorts with different success counts were not comparable at all; it is now sc.sample_per_seed(n_lineages_actually_sampled). Expected row counts change: set 1 7410 -> 9975, set 2 v0 3042 -> 9984, v1 4056 -> 9984. Run metadata added (it wrote none), recording sample_per_seed and the lineage count so the row count is traceable.",<name>.tsv; <name>corresponding_monomers.tsv (note the missing leading underscore); <name>_run_metadata.json
subsample_timepoints_for_scRNAseq_comp.py,cohort,descriptive,Plot,yes -- newly registered,modified (same bug fixed; metadata added),no,none (data; subsampling),"Same timepoint subsampling as subsampl_mrna_protein_10k (mRNA + rRNA + per-amino-acid tRNA), for scRNAseq comparison. NOTE: this script is subsampl_mrna_protein_10k.py MINUS the monomer-counts block, and with the same RNG seed its primary .tsv is BYTE-IDENTICAL to that script's (130,529,573 B in set 1; also matching in set 2 v0/v1) -- one of the two should eventually become a flag on the other, which would halve the heaviest job's work. Same SAMPLE_PER_SEED fix and run metadata as its sibling.",<name>.tsv; <name>_run_metadata.json
subsample_cell_monomer_mass.py,cohort,descriptive,Plot,yes -- newly registered,modified (same bug fixed; metadata added),no,none (data; subsampling),"Same subsampling (via sc.subsample_seed_timepoints; RNG seeded once); per sampled timestep records dry cell mass (Mass/dryMass, femtograms) and all monomer counts (read in memory-bounded batches), plus a monomer molecular-weight table in the same column order. Strict filter; SEED_RANGE 0-128. Same SAMPLE_PER_SEED fix and run metadata as its siblings.",<name>_monomer_counts_dry_mass.tsv; <name>_monomer_mws.tsv; <name>_run_metadata.json
subgenerational_expression_table.py,cohort,legacy,Plot,no -- SUBGEN_LEGACY tag only,labelled LEGACY; removed from ACTIVE,no (reads simOut directly),"mRNA-PRESENCE FREQUENCY (NOT def5, no CI)","SUPERSEDED by subgenerational_expression_table_def5.py. p_expressed = (cells with >=1 mRNA copy at some timestep)/n_cells; subgen iff 0 < p_expressed < 1 -- a point estimate against a threshold, with no confidence interval. Why superseded: (a) presence counts transcripts INHERITED from the mother and initiations later lost to tRNA attenuation, so almost every gene is 'sometimes absent' in some cell -- it called 3685 (set 2 v0) / 3194 (v1) genes subgen against 1859 for def5_CI, so the gene lists are NOT comparable; (b) the 'always on' count degrades as the cohort grows, the opposite of a per-lineage rate whose SE shrinks as std/sqrt(n_lineages); (c) DENOMINATOR BUG -- the read-failure handler continues without decrementing n_cells, so unreadable cells dilute every gene's probability; (d) uses the weak only_successful=True gate, not the strict filter. Its p_expressed value is recovered, more correctly, as p_mrna_present_def1 in the def5 table.","<name>.tsv (subgen subset ONLY): gene_name, cistron_name, protein_name, p_expressed, max_mRNA_count, max_protein_count. Set 2 row counts: condition_000000 3685 x 6, condition_000001 3194 x 6. Set 1 never ran it."
id_subgen_monomers.py,cohort,legacy,Plot,no -- SUBGEN_LEGACY tag only,labelled LEGACY,no (reads simOut directly),"MONOMER-PRESENCE FREQUENCY (NOT def5, no CI)","SUPERSEDED by subgenerational_expression_table_def5.py, whose monomer_name column subsumes the identification this was written for. p_monomer_exists_in_gen = (generations with monomer count > 0 at some timestep)/n_generations; subgen iff 0 < p < 1, never_expressed iff == 0. Measured on PROTEIN, not completed transcripts, so it conflates transcription with translation and with the long protein half-lives that carry a monomer across a generation that never transcribed (the very 'protein memory' effect subgen_protein_memory.py exists to quantify). Also note expression_status_array is computed and NEVER WRITTEN -- the writer emits only 4 columns -- so the classification is silently discarded; do not revive it expecting a category column. Uses the weak only_successful=True gate. (The def5-era rewrite id_subgen_monomers_def5.py was folded into the def5 table and deleted in d065f1aa; runscripts/sbatch/subgen/02 still referenced that deleted file on every run and no longer does.)","<name>.tsv: gene_name, cistron_name, monomer_name, prob_monomer_expressed"
transcriptFrequency.py,cohort,legacy,Plot (body unreachable),no -- SUBGEN_LEGACY tag only,labelled LEGACY and DISABLED,no,"mRNA-PRESENCE FREQUENCY (NOT def5, no CI)","SUPERSEDED by transcriptFrequency_def5.py, and DISABLED: do_plot opens with a bare `return`, so everything below is unreachable and it produces NO output. Tri-classified by point estimate (freq==1 always / freq==0 never / else subgen). Also reads the legacy TU-level BulkMolecules/counts rather than RNACounts/mRNA_cistron_counts, and hardcodes generation=[3] and N_SEEDS=32 -- one generation, no burn-in, no lineage-health gate. Set 2's launcher invoked it by path and the job 'succeeded' in 5.4 s having written nothing, which is why set 2 has no counterpart to set 1's transcriptFrequency_def5.pdf.",none (disabled)
subgenerationalTranscription.py,multigen,legacy,Plot,no -- SUBGEN_LEGACY tag only,labelled LEGACY; removed from ACTIVE,no,"mRNA-PRESENCE FREQUENCY (NOT def5, no CI)","SUPERSEDED by subgenerationalTranscription_def5.py. Presence frequency per generation, tri-classified by point estimate. Differences: presence rather than completed transcripts; runs on seed 0 UNCONDITIONALLY (a lineage that stalls with cells pinned at the 180-min cap still passes only_successful=True and its collapsing transcription inflates the subgen fraction); NO burn-in; ignores plotOutFileName and hardcodes output names ('figure5B__top' etc.), so figures cannot be seed-disambiguated. CONTENT NOT CARRIED OVER, documented in the file header: PLOT_GENES_OF_INTEREST (default False; dcuR/clpP/dcuC annotations + figure5B__top__clean__genes), PLOT_DENOMINATOR_N_EACH_FREQ_GROUP (default False; the _v2 variants of 5E/5F/5G normalized within each frequency group), and the __clean variants of several panels. Port any of those ONTO the def5 script rather than reviving this one. It also no longer feeds anything: the figure5B.pickle that functionalUnits.py / functionalUnitsFC.py / rnaVsProteinPerCell.py look for is NEVER WRITTEN (the only pickle.dump is commented out, and the figure5B_E_F_G.py they name no longer exists), so those three are dormant no-ops guarded by os.path.exists.",figure5B__top.pdf; figure5B__bottom.pdf; figure5E.pdf; figure5F.pdf; figure5G.pdf (+ __clean / _v2 variants when the flags are enabled)
proteinFoldChangeVsTranscriptionFrequency.py,cohort,legacy,Plot (body unreachable),no (already commented out),labelled LEGACY and DISABLED,no,presence fraction (NOT def5); `> 1` off-by-one,"DISABLED: do_plot opens with a bare `return`. If revived, note it tests presence as proteinMonomerCounts.sum(axis=0) > 1 -- a `> 1` where `> 0` is meant, so a monomer present exactly once in a generation reads as absent. The SAME off-by-one is in multigen/proteinExistVsBurstSize.py:39, proteinAvgCountVsBurstSize.py:41, proteinCountVsFoldChange.py:41 and proteinFoldChangeVsTranslationEff.py:39, all of which sit in the multigen SUBGENERATIONAL tag. It plots existFractionPerMonomer as a continuous fraction with no thresholding, so there is no explicit classification to correct, but the quantity is presence frequency, not a def-5 rate. Reads seed 0 only, no burn-in, no lineage gate.",none (disabled)
