Gene,Monomer,Covert_Expression,Li_Expression
ydiP,G6919-MONOMER,3.4421,2.000000
ihfA,PD00347,536.942066667,765.000000
chbR,EG10143-MONOMER,9.74356666667,4.000000
osmE,EG10044-MONOMER,83.1650333333,49.000000
ydjF,G6957-MONOMER,13.8766,19.000000
yeaM,G6976-MONOMER,12.0118,9.000000
dmlR,G6985-MONOMER,12.5318666667,3.000000
cspC,EG12204-MONOMER,1565.59283333,2502.000000
kdgR,G7003-MONOMER,43.7458666667,100.000000
yebK,EG12860-MONOMER,52.2605333333,31.000000
flhC,MONOMER0-2488,57.3233666667,20.000000
flhD,EG10320-MONOMER,88.7890666667,25.000000
uvrY,EG11140-MONOMER,182.478066667,153.000000
sdiA,PD02198,45.3466,38.000000
fliZ,EG11356-MONOMER,763.8721,1.000000
fliA,EG11355-MONOMER,970.035033333,7.000000
rcsA,PD02233,20.1405333333,1.000000
yedW,G7057-MONOMER,21.7414666667,22.000000
cbl,G7071-MONOMER,7.34196666667,1.000000
nac,G7072-MONOMER,7.34366666667,1.000000
yeeY,G7088-MONOMER,17.6066333333,9.000000
yefM,EG12844-MONOMER,140.7963,31.000000
baeR,BAER-MONOMER,36.3245333333,28.000000
ogrK,G7119-MONOMER,28.3486333333,29.000000
yegW,G7133-MONOMER,15.9002666667,18.000000
rcnR,G7137-MONOMER,30.3234666667,17.000000
yehT,EG12006-MONOMER,16.9846,16.000000
mlrA,EG12008-MONOMER,2.9594,2.000000
galS,PD00261,1.82666666667,2.000000
yeiE,EG12105-MONOMER,37.8914333333,27.000000
yeiL,EG12031-MONOMER,1.9791,1.000000
narP,NARP-MONOMER,22.2384333333,90.000000
ada,PD00230,10.4728,10.000000
rcsB,RCSB-MONOMER,281.911766667,193.000000
atoC,ATOC-MONOMER,6.64056666667,2.000000
lrhA,EG12123-MONOMER,60.5351333333,84.000000
dsdX,DSDX-MONOMER,4.8202,4.000000
evgA,EVGA-MONOMER,185.314466667,37.000000
ypdB,G7244-MONOMER,35.0616333333,21.000000
ypdC,G7245-MONOMER,9.88196666667,9.000000
yfeC,EG11431-MONOMER,90.0724333333,19.000000
yfeD,EG11432-MONOMER,45.9257333333,19.000000
xapR,EG11146-MONOMER,6.88523333333,6.000000
yfeR,G7257-MONOMER,8.11396666667,7.000000
murR,G7262-MONOMER,10.2448333333,5.000000
eutR,EG12190-MONOMER,7.14926666667,6.000000
gcvR,EG11149-MONOMER,192.573466667,91.000000
hyfR,G7308-MONOMER,2.90566666667,1.000000
iscR,G7326-MONOMER,157.4659,318.000000
hcaR,G7331-MONOMER,5.3615,5.000000
yphH,G7344-MONOMER,6.52033333333,5.000000
glrR,EG11285-MONOMER,18.2284333333,24.000000
yfhH,EG12308-MONOMER,15.3211333333,14.000000
rseC,G7347-MONOMER,53.9115666667,59.000000
rseB,G7348-MONOMER,145.8751,94.000000
rpoE,RPOE-MONOMER,397.013933333,124.000000
yfiE,EG11785-MONOMER,8.20913333333,9.000000
alpA,PD02850,1.83506666667,1.000000
yfjR,G7369-MONOMER,2.2195,3.000000
csiR,EG12386-MONOMER,17.1428666667,10.000000
ygaV,G7397-MONOMER,13.334,12.000000
stpA,EG11554-MONOMER,40.8305333333,672.000000
mprA,EG10603-MONOMER,188.678666667,408.000000
gutM,PD00345,6.1817,3.000000
srlR,PD00283,69.4433333333,22.000000
norR,EG12108-MONOMER,7.9261,13.000000
ascG,EG10087-MONOMER,9.1613,18.000000
fhlA,PD02936,4.5126,5.000000
ygbI,G7416-MONOMER,16.7089666667,17.000000
rpoS,RPOS-MONOMER,211.483733333,246.000000
fucR,PD00444,22.7138666667,14.000000
gcvA,PD00339,39.2123666667,39.000000
galR,PD03028,39.8305333333,21.000000
lysR,PD00360,11.6879333333,11.000000
ygeV,G7488-MONOMER,10.6948,4.000000
argP,EG10490-MONOMER,80.2306,33.000000
ygfI,G7518-MONOMER,4.8828,4.000000
yggD,EG11162-MONOMER,48.9658,49.000000
glcC,G7546-MONOMER,5.41773333333,11.000000
yqhC,G7563-MONOMER,11.1954,12.000000
mqsA,G7571-MONOMER,23.9769333333,38.000000
ygiV,G7573-MONOMER,8.32826666667,7.000000
qseB,G7575-MONOMER,5.22743333333,9.000000
ttdR,EG12694-MONOMER,24.2332666667,1.000000
rpoD,RPOD-MONOMER,206.522366667,537.000000
yqjI,G7594-MONOMER,42.3399,31.000000
ebgR,PD03254,44.8154,19.000000
higA,G7601-MONOMER,9.8355,15.000000
exuR,PD03270,130.360033333,66.000000
yhaJ,G7619-MONOMER,26.9880666667,48.000000
tdcA,PD00268,2.5627,1.000000
agaR,G7630-MONOMER,47.1762333333,88.000000
sfsB,EG10656-MONOMER,26.2940666667,15.000000
ibaG,G7657-MONOMER,162.759133333,225.000000
rpoN,RPON-MONOMER,242.5724,139.000000
yhcF,G7673-MONOMER,16.1749666667,13.000000
nanR,G7678-MONOMER,80.0228,46.000000
argR,PD00194,80.2318,181.000000
aaeR,G7688-MONOMER,47.3789,21.000000
fis,PD00196,390.369,1763.000000
envR,EG11741-MONOMER,0.800766666667,1.000000
zntR,EG11969-MONOMER,21.9517666667,21.000000
yheO,G7715-MONOMER,113.511633333,109.000000
crp,PD00257,893.6292,517.000000
frlR,G7727-MONOMER,41.4141,22.000000
ompR,OMPR-MONOMER,123.948,109.000000
feoC,EG12933-MONOMER,297.921333333,35.000000
malT,PD00237,128.686533333,80.000000
rtcR,EG12356-MONOMER,2.72486666667,3.000000
glpR,PD03576,25.3017,88.000000
gntR,PD03585,84.6781333333,59.000000
rpoH,RPOH-MONOMER,156.6327,290.000000
nikR,EG11519-MONOMER,27.4119666667,21.000000
arsR,EG12235-MONOMER,4.85866666667,9.000000
gadE,EG11544-MONOMER,8.58466666667,1.000000
gadW,EG12242-MONOMER,55.1012333333,18.000000
gadX,EG12243-MONOMER,13.5968,20.000000
yhjB,EG12246-MONOMER,5.11673333333,4.000000
yhjC,EG12247-MONOMER,12.355,18.000000
yiaG,EG12624-MONOMER,17.6095,4.000000
cspA,PD03695,11173.4487333,1592.000000
xylR,EG20253-MONOMER,21.8546,8.000000
yiaJ,EG12278-MONOMER,19.4600666667,24.000000
yiaU,EG12289-MONOMER,11.4256666667,6.000000
mtlR,PD00369,48.0417333333,58.000000
lldR,EG11962-MONOMER,8.967,16.000000
uhpA,UHPA-MONOMER,19.1825333333,57.000000
yidF,EG11694-MONOMER,26.3075333333,6.000000
yidL,EG11707-MONOMER,2.001,2.000000
yidP,EG11711-MONOMER,2.56826666667,2.000000
dnaA,PD03831,59.5871666667,185.000000
yidZ,EG11721-MONOMER,16.5099,18.000000
asnC,PD00250,18.9487333333,21.000000
rbsR,PD03867,20.2959333333,18.000000
ilvY,PD00200,18.2365666667,27.000000
rho,EG10845-MONOMER,513.969933333,637.000000
metR,PD03938,11.2726666667,17.000000
rfaH,EG10839-MONOMER,25.8489666667,81.000000
glnG,PROTEIN-NRI,49.9989666667,21.000000
yihL,EG11838-MONOMER,10.3309666667,11.000000
yihW,EG11849-MONOMER,24.9315,58.000000
yiiE,EG11854-MONOMER,0.364733333333,3.000000
frvR,EG11861-MONOMER,1.4386,2.000000
rhaS,PD00221,2.2738,1.000000
rhaR,PD00222,3.12543333333,2.000000
cpxR,CPXR-MONOMER,126.971033333,151.000000
cytR,PD04028,48.2161333333,55.000000
metJ,PD04032,121.422266667,253.000000
yijO,EG11913-MONOMER,12.8614666667,7.000000
oxyR,PD00214,132.3833,103.000000
fabR,EG11394-MONOMER,158.5849,127.000000
birA,BIOTINLIG-MONOMER,28.3063666667,66.000000
hupA,EG10466-MONOMER,2182.6659,2120.000000
zraR,HYDG-MONOMER,7.0941,19.000000
iclR,PD04099,104.546133333,102.000000
lexA,PD00205,150.441033333,200.000000
zur,EG11929-MONOMER,107.687966667,43.000000
soxS,PD00406,32.279,34.000000
soxR,PD04132,7.21813333333,10.000000
rpiR,G7821-MONOMER,29.6071,27.000000
basR,BASR-MONOMER,20.1256333333,47.000000
adiY,EG11966-MONOMER,12.3343,1.000000
melR,PD00208,14.3772666667,3.000000
dcuR,DCUR-MONOMER,33.1075666667,22.000000
cadC,PD00436,9.87023333333,2.000000
yjdC,EG12176-MONOMER,62.2569333333,41.000000
nsrR,EG11212-MONOMER,76.8842333333,91.000000
yjfJ,G7847-MONOMER,0.6125,1.000000
aidB,EG11811-MONOMER,2.44633333333,4.000000
ulaR,G7854-MONOMER,28.3452333333,25.000000
ytfH,G7869-MONOMER,9.80433333333,14.000000
treR,EG12202-MONOMER,17.6205,14.000000
bdcR,G7882-MONOMER,20.0909,17.000000
idnR,G7891-MONOMER,19.5792,11.000000
fecR,EG10292-MONOMER,219.443066667,11.000000
fecI,PD00440,694.9156,29.000000
yjhU,G7909-MONOMER,69.1614333333,77.000000
sgcR,G7913-MONOMER,7.19873333333,3.000000
uxuR,EG20249-MONOMER,26.7009333333,44.000000
hypT,G7924-MONOMER,23.1545333333,18.000000
yjiR,G7936-MONOMER,7.60216666667,13.000000
yjjM,G7944-MONOMER,8.86226666667,1.000000
bglJ,G7948-MONOMER,154.176666667,1.000000
yjjJ,EG12342-MONOMER,28.1628,34.000000
trpR,PD00423,41.5683,59.000000
rob,PD04418,244.848066667,131.000000
creB,CREB-MONOMER,27.1314666667,45.000000
arcA,ARCA-MONOMER,406.007533333,394.000000
dgoR,G7790-MONOMER,20.9328333333,14.000000
hdfR,EG11449-MONOMER,33.2045666667,21.000000
putA,PUTA-MONOMER,10.5309333333,17.000000
alaS,ALAS-MONOMER,315.7285,501.000000
pepA,EG10694-MONOMER,131.186433333,214.000000
nadR,PD04413,42.4383333333,54.000000
thrA,ASPKINIHOMOSERDEHYDROGI-MONOMER,449.9899,298.000000
thrB,HOMOSERKIN-MONOMER,427.287433333,243.000000
thrC,THRESYN-MONOMER,358.503666667,268.000000
yaaJ,YAAJ-MONOMER,18.5751333333,4.000000
talB,TRANSALDOLB-MONOMER,1241.95443333,591.000000
mog,EG11511-MONOMER,57.9038666667,98.000000
nhaA,NHAA-MONOMER,23.3205,76.000000
ribF,RIBF-MONOMER,157.6599,216.000000
ileS,ILES-MONOMER,251.871366667,337.000000
ispH,EG11081-MONOMER,66.116,120.000000
rihC,EG11082-MONOMER,16.7790666667,23.000000
dapB,DIHYDROPICRED-MONOMER,77.766,94.000000
carA,CARBPSYN-SMALL,491.416766667,33.000000
carB,CARBPSYN-LARGE,673.067933333,28.000000
caiD,CARNRACE-MONOMER,1.12126666667,2.000000
caiC,CAIC-MONOMER,6.91736666667,4.000000
caiB,CARNDEHYDRA-MONOMER,4.9569,4.000000
caiT,CAIT-MONOMER,1.17046666667,1.000000
kefC,KEFC-MONOMER,6.7015,9.000000
folA,DIHYDROFOLATEREDUCT-MONOMER,36.8163333333,128.000000
apaH,EG10048-MONOMER,31.1895666667,33.000000
pdxA,PDXA-MONOMER,96.3607666667,123.000000
araD,RIBULPEPIM-MONOMER,1.6021,1.000000
araA,ARABISOM-MONOMER,2.37983333333,2.000000
thiQ,SFUC-MONOMER,25.6575,15.000000
thiP,SFUB-MONOMER,14.2820666667,14.000000
setA,B0070-MONOMER,10.7646666667,19.000000
leuD,LEUD-MONOMER,87.9896333333,45.000000
leuC,LEUC-MONOMER,71.3289333333,36.000000
leuB,3-ISOPROPYLMALDEHYDROG-MONOMER,67.1924666667,39.000000
leuA,2-ISOPROPYLMALATESYN-MONOMER,68.3927,26.000000
ilvI,ACETOLACTSYNIII-ICHAIN-MONOMER,32.5056666667,15.000000
ilvH,ACETOLACTSYNIII-HCHAIN-MONOMER,36.7201,14.000000
ftsI,EG10341-MONOMER,64.4324333333,169.000000
murE,UDP-NACMURALGLDAPLIG-MONOMER,77.5577,172.000000
murF,UDP-NACMURALGLDAPAALIG-MONOMER,102.7125,129.000000
mraY,PHOSNACMURPENTATRANS-MONOMER,58.8786333333,162.000000
murD,UDP-NACMURALA-GLU-LIG-MONOMER,68.6292666667,133.000000
murG,NACGLCTRANS-MONOMER,61.5861666667,94.000000
murC,UDP-NACMUR-ALA-LIG-MONOMER,83.5757,128.000000
ddlB,DALADALALIGB-MONOMER,115.743033333,136.000000
lpxC,UDPACYLGLCNACDEACETYL-MONOMER,492.050266667,901.000000
mutT,EG10626-MONOMER,17.7121333333,31.000000
coaE,EG12312-MONOMER,61.2415666667,80.000000
guaC,GMP-REDUCT-MONOMER,146.8829,134.000000
nadC,QUINOPRIBOTRANS-MONOMER,71.4893,40.000000
ampD,EG10041-MONOMER,76.2678,19.000000
aroP,AROP-MONOMER,37.5276333333,88.000000
aceE,E1P-MONOMER,1640.9688,3442.000000
aceF,E2P-MONOMER,1230.48296667,2857.000000
lpd,E3-MONOMER,1119.6382,2090.000000
acnB,ACONITATEDEHYDRB-MONOMER,369.419366667,377.000000
speD,SPED-MONOMER,282.375333333,292.000000
speE,SPERMIDINESYN-MONOMER,265.3503,305.000000
cueO,EG12318-MONOMER,16.0842666667,21.000000
gcd,GLUCDEHYDROG-MONOMER,82.3377666667,49.000000
hpt,HYPOXANPRIBOSYLTRAN-MONOMER,151.058233333,329.000000
can,EG12319-MONOMER,601.856066667,370.000000
panD,ASPDECARBOX-MONOMER,359.334866667,516.000000
panC,PANTOATE-BETA-ALANINE-LIG-MONOMER,308.413833333,237.000000
panB,3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER,225.0768,197.000000
folK,H2PTERIDINEPYROPHOSPHOKIN-MONOMER,36.8156333333,58.000000
mrcB,EG10605-MONOMER,35.2054,74.000000
fhuA,EG10302-MONOMER,357.082266667,88.000000
fhuC,FHUC-MONOMER,81.4811,26.000000
fhuD,FHUD-MONOMER,48.6077,19.000000
fhuB,FHUB-MONOMER,26.1317666667,20.000000
hemL,GSAAMINOTRANS-MONOMER,153.879433333,208.000000
clcA,YADQ-MONOMER,26.5552666667,27.000000
btuF,EG12334-MONOMER,24.3482333333,36.000000
mtn,EG11090-MONOMER,203.143066667,249.000000
dgt,DGTPTRIPHYDRO-MONOMER,35.5271,13.000000
dapD,MONOMER0-2001,410.070433333,366.000000
pyrH,UMPKI-MONOMER,369.820833333,438.000000
dxr,DXPREDISOM-MONOMER,37.9369333333,84.000000
ispU,UPPSYN-MONOMER,83.7653666667,235.000000
cdsA,CDPDIGLYSYN-MONOMER,54.3698333333,213.000000
lpxD,UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-MONO,487.314766667,637.000000
fabZ,FABZ-MONOMER,464.4873,773.000000
lpxA,UDPNACETYLGLUCOSAMACYLTRANS-MONOMER,205.24,695.000000
lpxB,LIPIDADISACCHARIDESYNTH-MONOMER,71.8629666667,182.000000
accA,CARBOXYL-TRANSFERASE-ALPHA-MONOMER,157.568866667,506.000000
ldcC,LDC2-MONOMER,7.8519,5.000000
proS,PROS-MONOMER,223.9392,622.000000
metQ,METQ-MONOMER,240.711066667,313.000000
metI,METI-MONOMER,48.4832666667,203.000000
metN,ABC-MONOMER,26.0537666667,173.000000
gmhB,EG11736-MONOMER,87.0530666667,63.000000
dkgB,MONOMER0-149,19.0682333333,23.000000
gloB,GLYOXII-MONOMER,55.7524333333,19.000000
fadE,ACYLCOADEHYDROG-MONOMER,3.6115,6.000000
lpcA,G6106-MONOMER,188.712233333,196.000000
pepD,EG10695-MONOMER,343.7133,254.000000
gpt,GPT-MONOMER,61.6753666667,388.000000
phoE,MONOMER0-282,1.75333333333,4.000000
proB,GLUTKIN-MONOMER,113.335366667,167.000000
proA,GLUTSEMIALDEHYDROG-MONOMER,101.578833333,150.000000
mmuP,B0260-MONOMER,2.42546666667,5.000000
mmuM,MMUM-MONOMER,13.7127333333,9.000000
argF,CHAINF-MONOMER,10.6220666667,10.000000
ykgE,G6176-MONOMER,2.98793333333,4.000000
ykgF,G6177-MONOMER,3.12643333333,4.000000
ykgG,G6178-MONOMER,3.28606666667,5.000000
betA,CHD-MONOMER,20.9808,15.000000
betB,BADH-MONOMER,24.1858333333,27.000000
betT,BETT-MONOMER,7.57873333333,19.000000
yahI,G6188-MONOMER,1.35003333333,1.000000
codB,CODB-MONOMER,169.706133333,56.000000
codA,CYTDEAM-MONOMER,379.1756,71.000000
cynT,CARBODEHYDRAT-MONOMER,3.78243333333,2.000000
cynS,CYANLY-MONOMER,4.4512,5.000000
cynX,CYNX-MONOMER,2.4251,4.000000
lacZ,BETAGALACTOSID-MONOMER,0.9826,2.000000
mhpA,MHPHYDROXY-MONOMER,0.474633333333,1.000000
mhpB,DHPDIOXYGEN-MONOMER,1.20083333333,1.000000
mhpC,MHPCHYDROL-MONOMER,2.07596666667,1.000000
mhpD,MHPDHYDROL-MONOMER,1.70336666667,1.000000
mhpF,MHPF-MONOMER,1.97163333333,1.000000
mhpE,MHPELY-MONOMER,1.69046666667,2.000000
mhpT,MHPT-MONOMER,2.5619,3.000000
frmB,G6208-MONOMER,29.0173,75.000000
frmA,ADHC-MONOMER,41.4577,146.000000
tauB,TAUB-MONOMER,0.795933333333,1.000000
tauC,TAUC-MONOMER,0.7293,1.000000
tauD,MONOMER0-147,3.61133333333,2.000000
hemB,PORPHOBILSYNTH-MONOMER,96.8559,153.000000
ddlA,DALADALALIGA-MONOMER,117.6569,165.000000
phoA,ALKAPHOSPHA-MONOMER,10.0653666667,7.000000
proC,PYRROLINECARBREDUCT-MONOMER,37.2857666667,46.000000
aroL,AROL-MONOMER,114.352833333,67.000000
mak,EG11288-MONOMER,14.4644,21.000000
brnQ,BRNQ-MONOMER,69.3067,248.000000
malZ,MALTODEXGLUCOSID-MONOMER,12.1191666667,8.000000
acpH,EG11095-MONOMER,11.4453666667,14.000000
tsx,EG11035-MONOMER,279.037766667,495.000000
ribD,RIBOFLAVINSYNDEAM-MONOMER,74.9081666667,109.000000
ribE,LUMAZINESYN-MONOMER,302.6753,402.000000
thiL,THI-P-KIN-MONOMER,38.5801666667,84.000000
pgpA,PGPPHOSPHAA-MONOMER,103.8142,84.000000
dxs,DXS-MONOMER,54.3606666667,97.000000
ispA,FPPSYN-MONOMER,113.916033333,132.000000
thiI,THII-MONOMER,48.3421666667,151.000000
panE,2-DEHYDROPANTOATE-REDUCT-MONOMER,72.3748333333,46.000000
cyoE,HEMEOSYN-MONOMER,587.357433333,1495.000000
cyoD,CYOD-MONOMER,1216.6141,1737.000000
cyoC,CYOC-MONOMER,1078.77183333,1616.000000
cyoB,CYOB-MONOMER,1032.95176667,1622.000000
cyoA,CYOA-MONOMER,1261.55903333,1841.000000
ampG,AMPG-MONOMER,26.9063,83.000000
queC,G6245-MONOMER,38.1412,71.000000
cof,G6246-MONOMER,15.5097,12.000000
amtB,AMTB-MONOMER,8.1886,5.000000
tesB,THIOESTERII-MONOMER,35.0097333333,36.000000
maa,MALTACETYLTRAN-MONOMER,38.0490333333,51.000000
acrB,ACRB-MONOMER,116.176933333,253.000000
acrA,EG11703-MONOMER,133.592033333,251.000000
apt,ADENPRIBOSYLTRAN-MONOMER,193.0529,483.000000
adk,ADENYL-KIN-MONOMER,421.6399,473.000000
hemH,PROTOHEME-FERROCHELAT-MONOMER,22.5651666667,35.000000
gsk,GSK-MONOMER,26.7520333333,85.000000
ushA,USHA-MONOMER,41.6539666667,31.000000
copA,G6260-MONOMER,22.8896,17.000000
ybaS,G6261-MONOMER,1.84803333333,2.000000
tesA,THIOESTERI-MONOMER,78.7306,25.000000
allA,G6275-MONOMER,3.70333333333,7.000000
gcl,GLYOCARBOLIG-MONOMER,0.927933333333,1.000000
hyi,G6277-MONOMER,0.244666666667,1.000000
glxR,G6278-MONOMER,1.1862,1.000000
allB,G6281-MONOMER,1.40046666667,1.000000
glxK,GLY3KIN-MONOMER,1.08636666667,4.000000
allC,G6285-MONOMER,6.04886666667,4.000000
ybcF,EG12384-MONOMER,4.22846666667,2.000000
purK,PURK-MONOMER,81.6581666667,57.000000
purE,PURE-MONOMER,64.8745333333,64.000000
lpxH,EG12666-MONOMER,40.0726,141.000000
cysS,CYSS-MONOMER,74.7744,193.000000
folD,FOLD-MONOMER,169.074766667,153.000000
cusF,G6321-MONOMER,1.9813,2.000000
cusB,G6322-MONOMER,1.0511,3.000000
cusA,YBDE-MONOMER,1.2017,2.000000
pheP,PHEP-MONOMER,11.5734333333,84.000000
nfsB,DIHYDROPTERIREDUCT-MONOMER,153.983533333,143.000000
entD,ENTD-MONOMER,130.517733333,2.000000
fepA,EG10293-MONOMER,674.1006,3.000000
fes,EG10299-MONOMER,340.737266667,2.000000
entF,ENTF-MONOMER,418.125533333,3.000000
fepC,FEPC-MONOMER,72.8926666667,5.000000
fepG,FEPG-MONOMER,43.8722666667,5.000000
fepD,FEPD-MONOMER,56.8024333333,5.000000
entS,YBDA-MONOMER,54.1394666667,7.000000
fepB,FEPB-MONOMER,124.895433333,9.000000
entC,ENTC-MONOMER,331.697466667,2.000000
entE,ENTE-MONOMER,407.122133333,3.000000
entB,ENTB-MONOMER,693.509166667,5.000000
entA,ENTA-MONOMER,501.0075,4.000000
dsbG,DSBG-MONOMER,32.5832333333,17.000000
citT,B0612-MONOMER,2.5414,2.000000
citF,CITTRANS-MONOMER,0.333133333333,1.000000
dcuC,DCUC-MONOMER,38.7927,2.000000
pagP,EG12180-MONOMER,9.0572,1.000000
lipA,EG11306-MONOMER,311.892966667,431.000000
lipB,EG11591-MONOMER,40.0647333333,73.000000
dacA,EG10201-MONOMER,106.2001,207.000000
mrdA,EG10606-MONOMER,26.6211666667,92.000000
cobC,RIBAZOLEPHOSPHAT-MONOMER,12.8950333333,22.000000
nadD,NICONUCADENYLYLTRAN-MONOMER,39.0996333333,45.000000
leuS,LEUS-MONOMER,168.906366667,368.000000
hscC,G6357-MONOMER,2.0564,2.000000
rihA,G6358-MONOMER,31.8603666667,16.000000
gltL,GLTL-MONOMER,43.7492333333,35.000000
gltK,GLTK-MONOMER,23.7342666667,30.000000
gltJ,GLTJ-MONOMER,23.662,28.000000
gltI,G6359-MONOMER,125.187866667,52.000000
lnt,EG10168-MONOMER,31.4362,71.000000
ubiF,OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON,44.6443,46.000000
asnB,ASNSYNB-MONOMER,193.6964,63.000000
nagA,NAG6PDEACET-MONOMER,85.3446666667,59.000000
nagB,GLUCOSAMINE-6-P-DEAMIN-MONOMER,71.8684333333,51.000000
nagE,NAGE-MONOMER,43.6146666667,101.000000
glnS,GLNS-MONOMER,235.403,372.000000
fldA,FLAVODOXIN1-MONOMER,340.878566667,418.000000
