Matches	Direction
EG10082 // EG11093 // EG10083	+
EG10082 // EG11093 // EG10083	+
EG10083	+
EG10084	-
EG10084	-
EG11208	-
G6926	+
G0-10694	-
EG12235 // EG12236 // EG12237	+
EG11628	-
EG11627 // EG11625 // EG11626 // EG11624	-
EG11627 // EG11625 // EG11626 // EG11624	-
EG11627 // EG11625 // EG11626 // EG11624	-
EG11627 // EG11625 // EG11626 // EG11624	-
EG10085	+
EG10086 // EG10085	+
EG10087	-
EG10088	-
EG10089	-
EG10090	+
EG11361	-
EG10091	+
EG10092	-
EG10093	-
EG10093 // EG11199	-
EG10375 // EG10093 // EG11199	-
EG10094	-
EG30020	+
EG30021	+
EG30022	+
G7069	-
EG10095	-
EG11225 // EG10095	-
EG10096	-
EG10097	-
EG10097	-
EG30023	+
EG30024	+
EG30025	+
G6855	+
G6944 // G6941 // G6940 // G6943 // G6942	-
G6944 // G6941 // G6940 // G6943 // G6942	-
G6944 // G6941 // G6940 // G6943 // G6942	-
EG11670 // EG11669 // EG11672 // EG11671	+
EG11667 // EG11668	+
EG10100 // EG10103 // EG10099 // EG10102 // EG10105 // EG10098 // EG10101 // EG10104	-
EG10100 // EG10103 // EG10099 // EG10102 // EG10105 // EG10098 // EG10101 // EG10104	-
EG10100 // EG10103 // EG10106 // EG10099 // EG10102 // EG10105 // EG10098 // EG10101 // EG10104	-
EG10107	+
G6731	-
G0-10653	-
EG11665	-
EG11618 // EG11617	+
G6093	+
EG10238 // G6093 // EG10455 // EG10861 // EG11284 // EG10316 // EG10545 // EG10546	+
G7319 // G7320	-
EG10658	-
G7352	+
G7352	+
EG10952	+
EG11367	+
EG11615 // EG11614	-
EG11360	-
EG10108	+
EG11419	-
EG12260 // EG12259 // EG12257 // EG12258	-
EG12259 // EG12258	-
EG12265 // EG12264 // EG12263	+
EG12261	-
G7880	-
G7882	+
EG11508 // G6776	-
G7311 // G7312	+
G7311 // G7312	+
EG10111 // EG10110 // EG10109	-
EG10112	+
EG11181 // EG10113	-
G495	+
EG10116	-
EG10116	-
EG10116 // EG10115 // EG10114	-
EG11729 // EG11364 // EG11728	-
EG12013	-
G6570	+
EG10117	-
EG10120 // EG10119 // EG10118 // EG10121	+
EG10122	-
EG11471	+
EG11837	+
EG10124	-
G7837	-
G0-9561	+
G6603	-
G6603	-
G6602	-
EG10125	+
EG10125	+
G6312	-
G6233 // EG12168	+
G7852	-
G6436	+
G6557	-
G6557	-
G6557	-
EG12006 // EG12007	-
EG10126 // EG11204	+
EG10129 // EG10128 // EG10127	-
EG10128	-
EG10129	-
EG10129	-
G0-8896	+
G0-8898	+
G0-8902	+
G0-8903	+
G0-8907	-
G0-8911	+
G0-8912	+
EG10131	-
EG10132 // EG10131	-
EG10133	-
EG11558 // EG12608 // EG11557	-
G6088	+
EG11561 // EG11558 // EG12608 // EG11560 // EG11559 // EG11557	-
EG12319	-
EG10135 // EG10134	+
EG10135 // EG10134	+
EG10135	+
EG12634	-
G7425 // G7430 // G7426 // G7429 // EG12845 // G7428 // G7427	-
G7425 // G7426 // EG12845 // G7427	-
G7071	-
EG12193 // EG12194	-
EG12193 // EG12194	-
EG12193 // EG12194	-
EG12193 // EG12194	-
EG11714	+
EG11714	+
EG11726	+
EG11727 // EG11726	+
EG11727	+
EG12059 // EG12054 // EG12058 // EG12053 // EG12057 // EG12052 // EG12055 // EG12169	-
EG12335	+
EG10137	+
G6971	+
EG10138	+
EG10139	+
EG12406 // G6412 // G6411 // G6409 // G6410	-
G6936	-
EG11531	+
EG11531	+
EG11753	-
EG12402 // EG12403	+
EG12403	+
EG10140 // EG10143 // EG10142 // EG10141 // EG10144 // EG12198	-
EG11237	-
G6370 // G6371	+
G6371	+
G0-9382	+
G6937	+
EG12096 // EG11250	+
EG12096 // EG11250	+
EG10155	-
EG10155	-
G6339 // G6340 // G6344 // G6343 // G6341 // G6342	-
G6339 // G6340 // G6344 // G6343 // G6341 // G6342	-
G6338	-
EG12331	+
G6850	+
EG10156	+
EG10156	+
EG10156	+
EG10157	-
EG10159 // EG10158	+
EG10159 // EG10158	+
EG10159 // EG10158	+
G6463	+
EG10159 // EG10542	+
G6633 // EG11608	-
G6551	+
EG10900 // EG11265	+
G6440	+
G6440	+
EG11245 // EG11162 // EG11792 // EG11791 // EG11161 // G7520	-
G6869	+
EG10922	-
EG12314 // EG12313 // EG12312	-
EG12150 // EG13238 // EG12151	-
EG12150 // EG13238 // EG12151	-
EG11327 // EG11326	+
G6246	+
G6260	-
EG11463	+
EG10160	-
G0-16649 // G7816	+
EG10163 // EG10020	-
EG10338	+
EG12209	-
EG11217 // EG11218 // EG10730	+
EG11217 // EG11218 // EG10730 // EG10145	+
EG10145	+
EG10164	+
EG10164	+
EG10164	+
EG10165	+
EG10165	+
G7455 // G7454	+
EG11489	+
G6547 // EG11489 // G6548	+
G6548	+
G6546 // G6543 // G6545 // G6544	-
G6546 // G6543 // G6545 // G6544	-
EG11330 // G7394 // EG12387 // EG11329 // EG10361	+
G7329	+
EG12386	+
EG10166	+
EG10166	+
EG12203	-
EG11111	-
EG12179	+
EG12179	+
EG12205	+
EG12205	+
G6511	+
G6510	-
G6825	-
G6825	-
EG11447	-
EG11447	-
EG11447	-
EG11447	-
EG11447	-
G0-8785	-
G0-8874	+
EG10018	-
EG10167	+
EG10167	+
EG10167	+
EG12318	+
G6263	+
G6760	+
G6321 // G6320 // EG12367 // G6322	+
G6319 // G6318	-
EG12177	-
EG10169 // EG11044 // EG10794	-
EG10169 // EG11044 // EG10794	-
G6620	-
EG10170	+
EG10170	+
EG10170	+
G0-8878	+
EG11653	-
EG10172	+
EG50008	+
EG12504	+
EG10174 // EG10173	+
EG10174 // EG10173	+
EG10174 // EG10173	+
EG10174 // EG10173	+
EG10174 // EG10173	+
EG10012 // EG11405	-
EG11421	-
EG10176 // EG10175	+
EG10177 // EG10176 // EG10175	+
EG10179 // EG10182 // EG10178 // EG10181 // EG10180	-
EG10184	+
EG10194 // EG10186 // EG10185	-
EG10187	-
EG10188	+
EG10188	+
EG10189	-
EG10189 // EG10191 // EG10190	-
EG10192	+
EG10192	+
EG10183 // EG10198 // EG10197 // EG10195 // EG10193	-
EG10043	+
EG10196	+
EG10003	+
EG10200	-
EG12754 // G7622	-
EG10201	-
EG10202	+
EG10203	+
EG11893	-
EG11408 // EG11407	+
EG11408 // EG11407	+
EG11408 // EG11407	+
EG10204 // EG11871 // EG11030 // M004	-
EG10204 // EG11871 // EG11030 // M004	-
EG10204 // EG11871 // EG11030 // EG11183 // M004	-
EG10658 // EG10205	-
EG10206	+
EG10206	+
EG10207	-
EG10208 // G0-10463	+
EG12392	-
EG11418	-
EG10211 // EG11068	-
EG10212	-
G7767	+
EG20044	-
EG11225	-
EG11225	-
EG10006 // EG10357	-
EG10006 // EG10357	-
G6347	-
G7679	+
G7679	+
G7826	-
G7826 // G7827	-
EG12347 // G7037 // G7038	-
EG10213	-
G6782 // G6778 // G6777 // G6779 // G6780 // G6781	-
G6782 // G6778 // G6777 // G6779 // G6780 // G6781	-
G6782 // G6778 // G6777 // G6779 // G6780 // G6781	-
EG10215	-
G6247	+
EG11268 // EG11440	+
EG10463	+
G7682	+
EG11652 // G7682	+
EG11652	+
EG10220 // EG10222 // EG10219	+
EG10220 // EG10222	+
EG10221 // EG10220 // EG10222 // EG10219	+
EG10221 // EG10220 // EG10222 // EG10219	+
EG10223	-
EG10004	+
G6808	-
G6972	+
G7049	-
EG11643	-
EG10224	+
EG10224	+
GB4478 // G7789 // EG20051 // EG20049 // EG20053	-
EG10225	+
EG10225	+
G6627 // EG12399 // G6626	-
EG12399	-
G6628	+
EG12780	+
EG10226	+
EG11303 // EG10227 // G6837 // G6836 // EG11304	+
G6835 // EG10228 // G6834	-
EG31115	+
G6115 // G6117 // G6116 // G6118	+
EG11193	+
EG11357 // EG11580	+
G6558	-
G6110 // G6109	-
G0-9981	-
EG11570	+
G7565	+
EG11648	+
EG11362 // EG10230	-
EG11362 // EG10230	-
EG11362 // EG10230	-
EG10231	+
G6986	+
G6985	-
EG10232 // EG10234 // EG10233	+
EG10232 // EG10234 // EG10233	+
EG10234	+
EG10242 // EG10235 // EG10828	-
EG10242 // EG10235 // EG10828	-
EG10236	+
EG10241 // EG10240 // G0-8893	+
EG10241 // EG10240 // G0-8893	+
EG10241 // EG10240 // G0-8893	+
EG10242 // EG10828	-
EG10242 // EG10828	-
EG10242 // EG10828	-
EG10242 // EG10828	-
EG10243	+
EG10243	+
EG10243	+
EG10237 // EG10244	-
EG10237 // EG10244 // EG11214	-
EG10245	+
G6784 // G6783	-
G6346 // G6345	+
G6346 // G6345	+
EG12627 // EG10248 // EG12628 // EG12625 // EG12626	-
EG11415	-
EG11297	+
EG11393	-
EG11070	-
EG10762 // EG11070 // EG10830	-
EG12176 // EG12178	-
G6333	-
EG10249	+
EG13161	-
EG10249 // EG10250	+
G7047	-
G7045	-
EG12232	+
EG12469	-
G6378	-
EG11932	+
EG10317 // EG11311	+
EG12022	-
EG10251 // EG11191	+
EG12715 // EG10139 // G6092	+
G0-10525 // G6169 // G6168 // EG12161	+
EG11639	-
EG10253 // EG10252	+
EG10254	+
G0-9562 // G0-41	+
G0-9562	+
EG10255	+
G6164	-
G6162 // G6161 // G6163 // G6160	-
G6162 // G6161 // G6163 // G6160	-
G6165	-
EG10256	-
EG10256	-
EG10256	-
EG10256 // EG10257	-
G6527 // EG11735	+
G6525	+
EG12099	+
G7174	-
G7173	-
G7176	+
EG11383 // G7668	-
G6480	+
G6482 // G6485 // G6484 // G6483 // EG12397 // G6481	+
EG11693	+
EG10629	+
EG13283 // G7233	-
EG10603 // EG11354 // EG11439	+
G6622	+
EG11336	+
EG11336	+
EG10258	-
EG10258	-
EG10258	-
EG10258	-
EG10258	-
EG10258	-
EG10261 // EG10260 // EG10263 // EG10259 // EG11105	+
EG11105	+
EG11104	+
EG11104	+
EG11741	-
EG10268 // EG10673	-
EG10703 // EG10368	-
EG10703 // EG10368 // EG10282	-
EG11211	+
G7836	-
EG11613	-
EG12267	-
EG11914	-
EG12332	+
G0-10737	+
G6310 // G6309 // G6311	+
G6827 // G6826 // G6829 // G6828	-
EG50006 // EG12190 // G7271 // EG50007 // G7270	-
G7281 // G7282	-
G7286 // G7285 // G7284 // G7283	-
G7287 // G7292 // G7291 // G7290 // G7289 // G7288	-
EG11609 // EG11610	+
EG11609 // EG11610	+
EG10271 // EG10272	-
EG10272	-
G6295	-
EG12739	+
EG12738	+
EG12738	+
EG10273	-
EG10274	-
EG11317 // EG11318 // EG50003	+
EG12606	+
EG11318 // EG50003	+
EG11317 // EG10277 // EG11318	+
EG11528	-
EG11528	-
EG11394 // EG11395	+
EG11284	+
EG10279 // EG10278	-
EG11530 // G0-9384	-
G6105	-
G36	+
G7212 // G7213	-
EG10280	+
G6244	+
EG10281	+
EG10281	+
G7129	-
EG10283	-
EG11859	+
EG10285	-
EG11228 // EG11227 // EG11229	+
EG11857 // EG10284 // EG11856 // EG11858	-
G6289 // G6287 // EG12384 // G6288	+
G7961	+
G7961	+
G6706	-
G6706	-
G6706	-
G6706	-
EG10286 // EG10290 // EG10289 // EG10288 // EG10287	-
EG10291 // EG10292	-
EG12933 // EG12102 // EG12101	+
EG10293 // EG10262	-
EG10294	-
EG10295 // EG10296 // EG10298	-
EG10295 // EG10296 // EG10298	-
EG10297 // G0-10437 // EG10264 // EG10299	+
G6266 // G6267	+
EG10300	-
EG30027	+
EG10302 // EG10304 // EG10303 // EG10305	+
EG10306	-
G7949	-
G7949	-
EG11873	+
EG11974 // EG10308 // EG10311 // EG10314 // EG10313 // EG10310 // EG10315	+
EG10309	+
EG10309	+
EG10309	+
EG10312	+
EG11103	-
G6414	-
EG11565 // EG11564 // EG11562 // EG11563	+
G7865	+
G7716	-
G7716	-
EG10359 // G0-10580 // EG10318	-
EG12697	+
G369 // G6562 // G357	-
G358 // G361 // G364 // G360 // G363 // G366 // G359 // G362 // G365	+
EG11545 // EG11967	+
G369 // G6562	-
G7028 // G370 // G7027	-
EG10319 // EG10320	-
EG10319 // EG10320	-
EG11355 // EG11356 // G7039	-
EG11355 // EG11356 // G7039	-
EG10321	-
EG10841 // EG11389 // EG11388	+
EG10841 // EG11389 // EG11388	+
EG11346	-
EG11346	-
EG11347 // G377 // EG11656 // G379 // EG11654 // G378	+
EG11347 // G377 // EG11656 // G379 // EG11654 // G378	+
EG10322 // EG11977 // EG11976 // EG10323 // EG11224 // EG10324 // EG11975	+
EG10322 // EG11977 // EG11976 // EG10323 // EG11224 // EG10324 // EG11975	+
EG10229	+
G7080	+
G0-8905 // G7080	+
G7080	+
G6833	+
EG10325	-
G0-10677	+
EG11258 // EG10701	-
EG11258 // EG10701	-
EG11258 // EG10701	-
EG10326	+
EG11673	-
EG10218 // EG10327	-
EG12879 // EG10328	-
EG11375 // EG11290	-
EG50011 // EG11553	-
G7196 // G7195	+
EG10628	-
G7237	-
EG10332 // EG10331 // EG10330 // EG10333	-
EG10334	+
EG10334	+
G7727 // G7724 // G7723 // G7726 // EG12908	+
G7727	+
G7727	+
G6209 // EG50010 // G6208	-
EG10335	+
EG11091	+
G7990 // EG10336 // EG10337	-
EG11861 // EG11864 // EG11862 // EG11863	-
EG11909 // EG11908	+
EG11912	+
G7249 // G7248 // G7247 // G7250 // G7246	-
G6428	+
G6256	-
EG10921	+
G7033	+
G7033	+
EG12073	-
EG10339 // EG10347	+
G7424	-
G6464	+
G6464	+
EG10344 // EG10339 // EG10347 // EG10342 // EG11086 // EG10265 // EG10620 // EG10623 // EG10604 // EG10619 // EG10622 // EG10341 // EG10621 // EG10214	+
EG10344 // EG10339 // EG10347 // EG10342 // EG11086 // EG10265 // EG10620 // EG10623 // EG10604 // EG10619 // EG10622 // EG10341 // EG10621 // EG10214	+
EG11376	-
EG10342	+
EG10339 // EG10347 // EG10342	+
EG10345 // EG10346 // EG10340	-
EG10347	+
EG10347	+
EG10347	+
EG10351 // EG10348	-
EG10351	-
EG10355 // EG10350 // EG10353 // EG10349 // EG10352	+
EG10353	+
EG10355	+
EG10356	-
EG10358 // EG10356	-
EG10357	-
EG10358	-
EG10358	-
G6903	-
EG10359	-
EG10359	-
EG10360 // EG11036	-
G7832	+
EG11330 // EG11329 // EG10361	+
EG11330 // EG11329 // EG10361	+
EG12243 // EG50009	-
G6786 // EG11490	-
G6786	-
G6786	-
G6786	-
EG11544 // G0-16680	+
EG11544 // G0-16680	+
EG11544 // EG12241 // EG12240 // G0-16680	+
EG11544 // EG12241 // EG12240 // G0-16680	+
EG12242	-
EG12242	-
EG12243	-
EG12243 // EG12242	-
G0-8914	+
EG10362	-
EG10362	-
EG10366 // EG10362	-
EG10366 // EG10362	-
EG10363 // EG10366 // EG10362	-
EG10363 // EG10366 // EG10362	-
EG10363 // EG10366 // EG11698 // EG10362	-
EG10363 // EG10366 // EG11698 // EG10362	-
EG10363 // EG10366 // EG11698 // EG10362	-
G7093	-
EG10363	-
EG12148	+
EG10364	+
EG10365	-
EG11319	+
EG10367	+
EG10367	+
EG10367	+
EG10367	+
EG10367	+
G6966 // EG10367	+
G8205	-
EG12522	+
EG12760 // EG10016 // EG11176 // EG11175 // EG30069	-
EG11176	-
EG12162	-
EG12419 // G7128 // EG12414 // EG12417 // EG12416 // EG12415	-
G7128 // EG12414 // EG12417 // EG12416 // EG12415	-
EG10369	-
EG10369	-
G6283 // G6278 // G6280 // G6282 // G6277 // EG11583 // G6281	+
EG11795	-
G0-8867	+
EG11810	-
EG11149	+
EG11149	+
EG11442 // EG10371 // EG11810	-
EG10372	+
G6508	-
G6505 // G6507 // G6506	-
G6504 // G6503 // EG11826	-
EG10374	-
G0-10472 // G7830	+
G0-10472 // G7830	+
G6539	+
EG12272	+
EG11939	+
EG20080 // G7542	-
G7546	+
EG20080 // G7542 // G7543 // G0-8601 // G7545 // G7544	-
EG11981 // EG11982	-
EG10380 // EG10377	-
EG10381 // EG10380 // EG10377 // EG10379 // EG10378	-
EG10380 // EG10377 // EG10379	-
EG10380 // EG10377 // EG10379	-
EG10380 // EG10377 // EG10379	-
EG11381	-
EG11381	-
EG12957	-
EG12957	-
EG11198 // EG10382	-
EG11198 // EG10382	-
G0-8910	-
G0-8910	-
G0-8873	+
EG10383	-
EG10383	-
EG10387 // EG10383 // EG10385	-
EG10387 // EG10383 // EG10385	-
EG10384	-
EG10384	-
EG10384	-
EG11411	-
EG10388 // EG10386 // EG10389	-
EG10388 // EG10386 // EG10389	-
EG12191 // EG11821	+
EG10387 // EG10385	-
EG10389	-
EG10390	+
EG10390	+
EG30059 // EG30030 // EG30029 // EG30031	-
G6891	+
G6099	-
EG10392 // EG10391 // EG10393	+
EG10394	+
EG10395 // EG10397 // EG10400	-
EG10398 // EG11517 // EG10396	-
EG10397 // EG10400	-
EG10399	-
EG10400	-
EG10400	-
EG10399 // EG10401	-
G7345	-
EG11285 // EG10384	-
G6262 // G6261	+
G6809 // G6810	-
EG10402	-
EG10402	-
EG11514 // EG10404 // EG10403	+
EG11514	+
G0-9383 // EG12663 // EG12662 // EG12661 // G6359	-
G0-9383 // EG12663 // EG12662 // EG12661 // G6359	-
EG10405	+
EG10406	-
EG10407	-
EG10407	-
EG10407	-
EG11708 // G0-10564 // EG11709 // EG11710	-
G6283	+
EG10408	-
EG10410 // EG10409	-
EG30037	-
EG30037	-
EG30038 // EG30041 // EG30040	+
EG30039 // G7991 // EG30054 // G0-16636	-
G6106	+
EG11736	+
EG10965	+
EG10411	-
G0-9662	+
G0-9662	+
G6823	-
EG12629	-
EG12629 // EG12631	-
EG12563	-
EG12630	-
EG12630	-
EG12630	-
EG12629 // EG12630 // EG12631	-
EG12380	+
EG12380	+
EG12380	+
EG12631	-
G7748 // G7747	+
EG10412	+
EG10412	+
EG11699	-
EG11699	-
EG12296 // EG12297 // EG12298	+
EG12296 // EG12297 // EG12298	+
EG10413	-
EG10414	+
EG11784	-
EG11784	-
EG10415	-
EG10415	-
EG11578	+
EG10599	+
EG10599	+
EG10599	+
EG10599 // EG10600	+
EG10416	-
EG10417	-
EG12688	-
EG12294	-
EG12181	-
EG10418	-
EG11102	+
EG11263 // G7701	-
EG11263 // G7701	-
EG11263 // G7701	-
EG11263 // G7701	-
EG11359 // G7702 // G7705 // G7708 // G7711 // G7704 // G7707 // G7710 // EG12173 // G7703 // G7706 // G7709	+
EG11359 // G7702 // G7705 // G7708 // G7711 // G7704 // G7707 // G7710 // EG12173 // G7703 // G7706 // G7709	+
EG11359 // G7702 // G7705 // G7708 // G7711 // G7704 // G7707 // G7710 // EG12173 // G7703 // G7706 // G7709	+
EG12882	-
G6878	+
G6438	-
EG10421 // EG10420	-
EG10422	+
G7447 // G7446 // G7445	-
EG10423	-
EG10424	-
G7336 // M009 // G7335 // G7334 // M015	+
G7331	-
G7330	-
G7055	+
G7055	+
G6457 // G6456	-
G6457 // G6456	-
G6457 // EG10754 // G6456	-
EG11581	+
G7313	-
EG11398 // EG11399 // EG11400	-
EG11495	+
EG11449	-
EG10425	-
EG10426	+
EG10427	+
EG10761 // EG12424 // EG10427	+
EG10428	-
EG10433 // EG10430 // EG10429 // EG10434	-
EG12189	+
EG10431	+
EG10432	-
EG10432	-
EG10432	-
EG11836	+
EG11083	-
EG11314 // EG11345	-
EG10438 // EG10437 // EG10435 // EG10436	+
EG10438 // EG10437 // EG10435 // EG10436	+
EG10438 // EG10437 // EG10435 // EG10436	+
G0-10451 // G6749	+
G0-10451 // G6749	+
G7601 // G7602	-
G6567 // G6564 // G6566 // G6565 // G6568 // EG12172	+
EG10442 // EG10443	-
EG10445 // EG10448 // EG10451 // EG10444 // EG10450	+
EG10452 // EG12125 // EG10007 // EG12124	-
EG11269	+
EG10445 // EG10448 // EG10451 // EG10444 // EG10447 // EG10450 // EG11269 // EG10446 // EG10449	+
EG10453	-
G7058	+
G7590	-
EG10455 // EG11284 // EG10316 // EG10545	+
G6619	-
EG10456	+
EG10457	-
G7738 // G7737 // G7736 // G7739	-
EG12113	-
G0-9613	-
G0-9610	-
EG11130	-
G0-9582	+
EG11413	-
EG11413 // EG11067	-
EG12115 // EG11414 // EG10850	+
EG11505	+
G7057 // G7056	-
EG20098	+
G6732	+
EG12329	+
EG12311 // EG12130 // EG11328 // EG12131	-
G6357	-
EG10458 // EG10460	-
EG10458 // EG10460 // EG10459	-
G6702	-
G7744	+
G7744 // G7743	+
EG11881 // EG11676	-
G6500	-
EG11509	+
EG11509	+
EG10461	+
EG10461	+
EG10461	+
EG10462	-
EG12434	+
EG10136 // EG12434	+
EG11188	-
EG10466	+
EG10467	+
EG10467	+
EG10467	+
EG10467	+
G6932	+
EG10470 // EG10473 // EG10469 // EG10472 // EG10468 // EG10471	+
EG11803 // EG11802 // EG11801 // EG11805 // G7554 // EG11800 // EG11804 // EG11799	-
G7414 // EG10480 // EG10476 // EG10479 // EG10475 // EG10478 // EG10481 // EG10474 // EG10477	-
EG11552 // EG11551	-
G7309 // G7300 // G7303 // G7306 // G7302 // EG11282 // G7305 // EG11150 // G7301 // G7304 // G7308 // G7307	+
EG10484 // EG10483 // EG10487 // EG10486 // EG10485	+
EG10301 // EG10484 // EG10483 // EG10487 // EG10486 // EG10485	+
EG10484 // EG10487 // EG10486 // EG10485	+
EG10301 // EG10484 // EG10487 // EG10486 // EG10485	+
EG11551	-
EG11551	-
EG11551	-
G7924	-
G7492	+
EG12407 // G6429 // G6432 // G6430 // G6431	+
EG10488	+
G7657	-
EG11358 // G7657	-
EG11534 // EG11535	-
EG11535	-
EG10489	+
EG10489	+
G0-10556	+
EG10491	-
G7508	+
G7892 // G7891 // G7893 // EG12539	-
EG12152	+
G7891	-
G7741	+
EG10440	-
EG10441	+
EG10492 // EG11080 // EG10548 // EG11081	+
EG10492 // EG11080 // EG10548 // EG11081	+
EG10492 // EG11080 // EG10548 // EG11081	+
EG30046	+
G7387	-
EG10493	+
EG10495	+
EG10497 // EG10493 // EG10496	+
EG10500 // EG10499	+
EG10500 // EG10499	+
EG10500 // EG10499	+
EG10500 // EG10499	+
EG11270	+
EG11270	+
G8221 // EG10497 // EG10493 // EG11270 // EG10496 // EG10501 // G0-10641	+
G8221 // EG10497 // EG10493 // EG11270 // EG10496 // EG10501 // G0-10641	+
EG10503	-
EG11569	-
EG11569	-
EG11569 // EG10985 // EG10691	-
EG11422	-
EG10504	-
EG10504	-
EG30096 // EG10504	-
EG10505	-
EG10506	-
EG10881 // EG10506 // EG11231	-
G7908	+
G6086 // G0-10535 // G6085	-
EG12340 // G6139 // G0-10537 // G6138 // G6137	-
G6145 // G0-10538 // G6146	-
G0-10536 // G6509 // G0-10430	+
G7030 // G0-10539 // G7029	-
G0-10569	+
G6212 // G0-10541 // G6213	+
G6724 // G0-10542 // G6723	-
G7077 // G7076 // G0-10543	-
G7481 // G7480 // G0-10544 // G7478 // G7479	-
G7586 // G7584 // G0-10545 // G7583 // G7585 // G7587	+
G0-10546 // G7895 // G7894	+
G6224 // G0-10529 // G6223	-
G0-10530 // G6297 // G6296	+
G6534 // G0-10531 // G6533	-
G7126 // G7125 // G0-10528	+
G7900	-
G6134	-
G7672	-
G7769	-
G6308	-
G6693	-
G7092	-
G7150	-
G7548	+
G6360	-
G6667	+
G7074	-
G6725	+
G7776	+
G7777	+
G6083	+
G6327	+
G7255	+
G7905 // G0-10567	-
G7904	+
G6131 // G6130	+
G6743	+
G6632	-
EG11783	+
EG12364	+
EG10507	-
G6152	-
G7044	+
G7218	+
G7272	+
G6226	+
G0-16685 // G7923	+
G0-16686 // G0-16685 // G7923 // G0-16687	+
G6600	-
G6600	-
EG11256	+
EG11256	+
G0-8908	+
G7324 // G7326 // G7325 // EG12132	-
EG10017	+
EG11816 // G7423	-
G0-9385 // EG10370	-
G0-8904	-
G0-8905	+
G0-10201	-
G0-10201	-
EG11275	-
EG10502 // EG10494 // EG11275	-
EG11052 // EG11051 // EG11053 // EG10502 // EG10494 // EG11275	-
G6104	+
EG10509	+
EG10511	+
G7631 // G7633 // EG12766 // G7632	+
EG10993 // EG10512	-
G7395	-
EG11606	-
EG12253	+
G7003	-
EG11869	+
EG10517 // EG10516	-
EG10515 // G0-10439 // EG10514 // EG10513	-
EG10518	+
G7663 // EG11680 // G7664 // G7665	+
G7663 // EG11680 // G7664 // G7665	+
G7663 // EG11680 // G7664 // G7665	+
EG11190 // EG10520	+
EG12361	-
G7463	-
EG10521 // EG11568	+
EG20110 // G0-10466 // G7717	-
EG10522	-
EG12155 // G0-9081	-
G7928	+
EG11541	+
EG11541	+
EG11541	+
EG10525	-
EG10526 // EG10524	-
EG10526 // EG10524 // EG10527	-
